FR,TR,Name,REP,START,END,TIM,EN
1200.0,16,18,2,1405166000.387633668,1405166033.259689257,32.872055589,3446.992776
1200.0,16,18,3,1405166034.731588744,1405166067.314263358,32.582674614,3399.985991
1200.0,16,18,4,1405166068.781072464,1405166099.922794444,31.141721980,3240.692432
1200.0,16,18,5,1405166100.589538470,1405166131.054191661,30.464653191,3168.018868
1200.0,16,18,6,1405166132.565187004,1405166162.361099041,29.795912037,3096.870826
1200.0,16,18,7,1405166164.840398467,1405166200.291672629,35.451274162,3664.221239
1200.0,16,18,8,1405166202.765210899,1405166236.249583919,33.484373020,3479.433079
1200.0,8,18,2,1405168734.657108292,1405168768.224379192,33.567270900,3473.457735
1200.0,8,18,3,1405168770.700725542,1405168806.524896180,35.824170638,3706.496774
1200.0,8,18,4,1405168809.034419196,1405168845.417307717,36.382888521,3724.578892
1200.0,8,18,5,1405168846.888112031,1405168880.153246197,33.265134166,3413.529475
1200.0,8,18,6,1405168882.626663040,1405168917.860127179,35.233464139,3635.369604
1200.0,8,18,7,1405168918.525049098,1405168952.522386556,33.997337458,3494.041516
1200.0,8,18,8,1405168954.996647582,1405168987.465600232,32.468952650,3349.147993
1200.0,32,18,2,1405171536.763420529,1405171570.745161579,33.981741050,3659.34789
1200.0,32,18,3,1405171573.255579527,1405171604.531221622,31.275642095,3270.502624
1200.0,32,18,4,1405171607.007321725,1405171640.304194314,33.296872589,3484.711246
1200.0,32,18,5,1405171642.796322484,1405171675.261137329,32.464814845,3396.857909
1200.0,32,18,6,1405171676.770094422,1405171708.966538458,32.196444036,3381.539999
1200.0,32,18,7,1405171710.468535115,1405171738.228325390,27.759790275,2919.616073
1200.0,32,18,8,1405171740.703525229,1405171771.179858936,30.476333707,3174.705887
1200.0,4,18,2,1405174914.278254342,1405174959.638587200,45.360332858,4561.070404
1200.0,4,18,3,1405174960.344368717,1405175005.175413208,44.831044491,4510.12559
1200.0,4,18,4,1405175006.649142799,1405175053.100452142,46.451309343,4663.996571
1200.0,4,18,5,1405175054.570969533,1405175098.714746248,44.143776715,4418.988671
1200.0,4,18,6,1405175101.191784557,1405175143.445034225,42.253249668,4257.263424
1200.0,4,18,7,1405175144.913822018,1405175188.997220840,44.083398822,4426.36206
1200.0,4,18,8,1405175190.512222149,1405175236.507036307,45.994814158,4616.643418
1200.0,2,18,2,1405179676.412295977,1405179737.129664058,60.717368081,5986.804636
1200.0,2,18,3,1405179738.607472773,1405179798.643042669,60.035569896,5914.412552
1200.0,2,18,4,1405179801.124390328,1405179860.056190496,58.931800168,5807.896547
1200.0,2,18,5,1405179860.726002338,1405179918.873929935,58.147927597,5725.833126
1200.0,2,18,6,1405179920.383439789,1405179976.486478170,56.103038381,5526.106434
1200.0,2,18,7,1405179978.965162277,1405180039.177010261,60.211847984,5931.934076
1200.0,2,18,8,1405180040.654356072,1405180095.284429952,54.630073880,5347.33266
1200.0,1,18,2,1405186400.955666635,1405186486.525466675,85.569800040,8234.762703
1200.0,1,18,3,1405186489.047196392,1405186577.914877734,88.867681342,8498.368122
1200.0,1,18,4,1405186578.591196118,1405186664.565611541,85.974415423,8237.489803
1200.0,1,18,5,1405186667.044677570,1405186753.575234773,86.530557203,8315.237666
1200.0,1,18,6,1405186754.247543299,1405186841.430290367,87.182747068,8397.597443
1200.0,1,18,7,1405186842.986841826,1405186927.984797484,84.997955658,8168.549422
1200.0,1,18,8,1405186928.699259598,1405187015.125227285,86.425967687,8281.108211
1300.0,16,18,2,1405190504.346929689,1405190535.850444745,31.503515056,3327.767749
