FR,TR,Name,EN,TIM
2500.0,4,encrypt,24811.55,189583.3
2000.0,8,encrypt,16657.37,121124.1
2901.0,1,encrypt,66542.55,504652.8
1300.0,8,encrypt,21579.71,187930.8
2900.0,8,encrypt,14524.71,82277.54
1400.0,32,encrypt,10309.037,73178.13
1200.0,8,encrypt,22448.95,202220.1
2900.0,4,encrypt,23514.41,165208.5
1900.0,2,encrypt,54462.78,507910.1
1900.0,32,encrypt,8858.98,53659.17
2400.0,4,encrypt,26419.41,203175.8
1200.0,1,encrypt,148992.3,1606338.0
2300.0,1,encrypt,85243.25,832834.0
1400.0,16,encrypt,13033.025,104539.52
2800.0,4,encrypt,24198.17,170973.3
2500.0,2,encrypt,45109.31,378872.0
1400.0,8,encrypt,19664.8,169365.2
1300.0,4,encrypt,38412.45,371387.7
2200.0,2,encrypt,49917.1,438774.5
2500.0,8,encrypt,15407.82,99037.85
2800.0,16,encrypt,10489.609,49431.29
1900.0,16,encrypt,11393.997,73365.64
2500.0,32,encrypt,8986.355,41323.31
2900.0,16,encrypt,11725.4,49115.01
1800.0,16,encrypt,11669.158,79215.51
1600.0,1,encrypt,112913.6,1182356.0
2800.0,8,encrypt,15854.81,93890.68
2500.0,16,encrypt,11480.731,61341.3
2200.0,8,encrypt,16106.18,110197.1
1300.0,32,encrypt,10419.937,77719.94
1800.0,4,encrypt,30139.64,265375.1
2200.0,1,encrypt,88262.97,869757.4
1800.0,32,encrypt,9049.928,57037.86
1600.0,4,encrypt,32556.23,295677.7
1800.0,8,encrypt,17818.88,139386.3
1900.0,1,encrypt,99370.84,1017162.6
1200.0,16,encrypt,14971.19,124392.0
2800.0,2,encrypt,43399.81,341857.6
2300.0,32,encrypt,8646.782,44325.47
2300.0,2,encrypt,48459.67,415549.3
1200.0,32,encrypt,11578.16,86248.93
1800.0,2,encrypt,55716.47,530866.3
2900.0,2,encrypt,42258.12,337186.6
2800.0,1,encrypt,73157.32,676688.5
2901.0,8,encrypt,16971.5,72956.55
2901.0,4,encrypt,25645.1,134647.9
2700.0,16,encrypt,11193.518,51792.41
2000.0,2,encrypt,53298.35,482425.8
1300.0,2,encrypt,71866.35,726577.3
2700.0,1,encrypt,78016.51,729262.9
2000.0,1,encrypt,98235.25,984443.1
2200.0,16,encrypt,11746.65,69314.61
1700.0,4,encrypt,31479.16,281015.4
1400.0,2,encrypt,67504.76,675383.7
2800.0,32,encrypt,9321.119,36562.79
2200.0,32,encrypt,8923.927,46306.16
2000.0,4,encrypt,28472.53,239013.6
2901.0,32,encrypt,11092.068,31187.87
1700.0,16,encrypt,12491.699,88659.64
2300.0,8,encrypt,16747.06,115446.3
2400.0,16,encrypt,10296.896,65469.78
1600.0,16,encrypt,12526.739,93992.97
2000.0,16,encrypt,10702.751,67693.55
1800.0,1,encrypt,103193.0,1062627.0
2700.0,2,encrypt,43346.85,354427.3
2901.0,16,encrypt,13072.365,45566.01
1700.0,8,encrypt,17922.89,141108.4
1400.0,1,encrypt,126983.6,1350529.0
2901.0,2,encrypt,42998.35,252589.4
2400.0,2,encrypt,47261.41,402304.7
2400.0,32,encrypt,9188.935,42185.62
2700.0,8,encrypt,15820.58,97590.95
1200.0,4,encrypt,39890.69,394233.4
2400.0,1,encrypt,83411.66,806736.6
1600.0,2,encrypt,61351.54,596361.7
1700.0,32,encrypt,9574.386,59934.98
2700.0,32,encrypt,9319.233,37814.79
2300.0,16,encrypt,10904.824,60889.09
2900.0,1,encrypt,73556.46,673827.8
2400.0,8,encrypt,17062.13,114803.41
2200.0,4,encrypt,27058.71,219472.6
1400.0,4,encrypt,35976.89,344635.6
1900.0,4,encrypt,29385.89,251562.4
1600.0,32,encrypt,9720.883,63707.31
1900.0,8,encrypt,16871.89,126069.5
2500.0,1,encrypt,79848.84,765763.7
2700.0,4,encrypt,24678.96,177267.6
1700.0,2,encrypt,59003.15,568321.3
1700.0,1,encrypt,108365.0,1124699.0
2300.0,4,encrypt,27028.69,211955.6
1600.0,8,encrypt,18881.84,156407.0
2900.0,32,encrypt,9641.146,35300.21
1300.0,1,encrypt,141163.9,1513843.0
1300.0,16,encrypt,13628.82,106146.49
1200.0,2,encrypt,77157.84,795798.1
2000.0,32,encrypt,8411.59,50942.57
