Name,TR,TIM,MEM,FR,POW,EN
enwik8,1,13.51,454232.0,1200.0,92.01,1246.64
enwik8,1,13.51,470840.0,1200.0,92.03,1242.39
enwik8,1,13.51,467236.0,1200.0,92.01,1246.62
enwik8,1,13.51,452420.0,1200.0,92.0,1241.85
enwik8,1,13.5,450656.0,1200.0,92.0,1241.92
enwik8,1,13.51,462608.0,1200.0,91.99,1245.39
enwik8,1,13.52,460396.0,1200.0,91.99,1245.44
enwik8,1,13.52,466740.0,1200.0,91.98,1241.29
enwik8,1,13.51,460460.0,1200.0,91.99,1246.44
enwik8,1,13.67,452688.0,1200.0,91.99,1260.18
enwik8,2,7.05,475268.0,1200.0,95.92,676.31
enwik8,2,7.04,460288.0,1200.0,95.9,676.03
enwik8,2,7.04,462108.0,1200.0,95.98,676.85
enwik8,2,7.04,468664.0,1200.0,96.0,676.91
enwik8,2,7.03,460348.0,1200.0,95.9,675.6
enwik8,2,7.05,474884.0,1200.0,96.05,677.08
enwik8,2,7.02,469812.0,1200.0,95.94,671.52
enwik8,2,7.06,466700.0,1200.0,96.0,682.05
enwik8,2,7.04,468444.0,1200.0,95.97,676.55
enwik8,2,7.02,465712.0,1200.0,95.92,671.59
enwik8,4,3.57,467160.0,1200.0,102.9,365.56
enwik8,4,3.74,469744.0,1200.0,102.19,378.45
enwik8,4,3.75,461412.0,1200.0,102.2,383.61
enwik8,4,3.61,465576.0,1200.0,102.61,369.74
enwik8,4,3.71,465636.0,1200.0,102.32,379.0
enwik8,4,3.96,467708.0,1200.0,101.01,404.27
enwik8,4,3.66,461600.0,1200.0,102.48,379.01
enwik8,4,3.83,461872.0,1200.0,101.69,392.93
enwik8,4,3.58,473012.0,1200.0,102.78,371.57
enwik8,4,3.63,466864.0,1200.0,102.78,370.38
enwik8,8,2.04,466148.0,1200.0,110.96,227.16
enwik8,8,2.02,465112.0,1200.0,111.4,223.77
enwik8,8,1.83,467640.0,1200.0,113.22,210.09
enwik8,8,2.15,455332.0,1200.0,109.75,236.45
enwik8,8,1.99,468024.0,1200.0,111.3,222.18
enwik8,8,1.95,464356.0,1200.0,113.41,221.89
enwik8,8,2.0,452680.0,1200.0,111.36,223.21
enwik8,8,2.06,469480.0,1200.0,110.48,232.76
enwik8,8,2.05,459724.0,1200.0,110.45,232.74
enwik8,8,2.23,463796.0,1200.0,108.89,245.72
enwik8,16,1.1,464688.0,1200.0,129.04,142.12
enwik8,16,1.14,474028.0,1200.0,127.82,148.97
enwik8,16,1.11,467120.0,1200.0,127.52,148.13
enwik8,16,1.12,463668.0,1200.0,128.9,142.95
enwik8,16,1.15,475840.0,1200.0,126.05,152.56
enwik8,16,1.12,471084.0,1200.0,129.09,142.83
enwik8,16,1.13,465728.0,1200.0,127.22,147.52
enwik8,16,1.1,470612.0,1200.0,128.93,143.94
enwik8,16,1.24,469640.0,1200.0,125.86,152.29
enwik8,16,1.15,471096.0,1200.0,127.82,148.14
enwik8,32,1.13,469868.0,1200.0,127.48,148.05
enwik8,32,1.16,461956.0,1200.0,127.38,147.39
enwik8,32,1.12,460916.0,1200.0,129.57,143.86
enwik8,32,1.11,473960.0,1200.0,129.38,143.57
enwik8,32,1.1,468080.0,1200.0,128.86,143.15
enwik8,32,1.1,469860.0,1200.0,127.58,148.27
enwik8,32,1.12,467416.0,1200.0,127.58,147.69
enwik8,32,1.1,464580.0,1200.0,128.73,143.18
enwik8,32,1.15,469808.0,1200.0,127.26,148.01
enwik8,32,1.12,470672.0,1200.0,127.69,148.4
enwik8,1,10.17,452660.0,1600.0,94.82,967.3
enwik8,1,10.15,450608.0,1600.0,94.78,961.42
enwik8,1,10.16,470960.0,1600.0,94.8,966.46
enwik8,1,10.15,464736.0,1600.0,94.74,961.83
enwik8,1,10.27,456204.0,1600.0,94.75,975.78
enwik8,1,10.16,462544.0,1600.0,94.84,967.25
enwik8,1,10.16,450576.0,1600.0,94.76,961.92
enwik8,1,10.16,464764.0,1600.0,94.78,966.79
enwik8,1,10.15,450584.0,1600.0,94.72,961.41
enwik8,1,10.15,450572.0,1600.0,94.75,961.63
enwik8,2,5.31,467876.0,1600.0,100.36,532.21
enwik8,2,5.29,462136.0,1600.0,100.46,532.55
enwik8,2,5.33,460732.0,1600.0,100.38,537.13
enwik8,2,5.33,463904.0,1600.0,100.43,537.42
enwik8,2,5.31,462936.0,1600.0,100.46,537.6
enwik8,2,5.26,468352.0,1600.0,100.72,533.93
enwik8,2,5.3,461208.0,1600.0,100.59,533.24
enwik8,2,5.29,465388.0,1600.0,100.44,532.33
enwik8,2,5.3,457424.0,1600.0,100.52,533.0
enwik8,2,5.61,454228.0,1600.0,99.93,559.66
enwik8,4,2.74,458472.0,1600.0,108.53,304.56
enwik8,4,2.74,462428.0,1600.0,108.84,299.77
enwik8,4,2.77,472160.0,1600.0,108.81,299.8
enwik8,4,3.13,459564.0,1600.0,106.2,333.76
enwik8,4,2.96,462868.0,1600.0,107.04,316.44
enwik8,4,2.9,461044.0,1600.0,107.64,312.58
enwik8,4,2.78,455776.0,1600.0,108.36,304.14
enwik8,4,2.71,467276.0,1600.0,108.9,299.81
enwik8,4,2.73,466852.0,1600.0,108.9,300.0
enwik8,4,2.81,463812.0,1600.0,108.07,308.41
enwik8,8,1.49,469172.0,1600.0,121.37,184.4
enwik8,8,1.44,471856.0,1600.0,122.46,178.04
enwik8,8,1.52,461540.0,1600.0,121.19,182.85
enwik8,8,1.55,464700.0,1600.0,119.69,192.4
enwik8,8,1.59,474596.0,1600.0,120.04,187.34
enwik8,8,1.52,461188.0,1600.0,120.51,187.9
enwik8,8,1.56,461568.0,1600.0,120.49,188.38
enwik8,8,1.49,457516.0,1600.0,121.6,183.66
enwik8,8,1.55,465576.0,1600.0,119.86,192.87
enwik8,8,1.55,458900.0,1600.0,120.59,188.09
enwik8,16,0.89,468516.0,1600.0,142.53,129.56
enwik8,16,0.9,473116.0,1600.0,141.67,136.51
enwik8,16,0.85,464560.0,1600.0,145.77,125.83
enwik8,16,0.88,461884.0,1600.0,145.59,125.21
enwik8,16,0.9,471068.0,1600.0,143.7,130.76
enwik8,16,0.85,466724.0,1600.0,147.78,121.48
enwik8,16,0.85,468452.0,1600.0,145.69,125.53
enwik8,16,0.86,482560.0,1600.0,146.05,125.9
enwik8,16,0.85,480420.0,1600.0,145.46,124.81
enwik8,16,0.87,472712.0,1600.0,143.79,131.18
enwik8,32,0.85,466144.0,1600.0,146.49,126.64
enwik8,32,0.87,469476.0,1600.0,145.67,125.44
enwik8,32,0.87,476520.0,1600.0,145.8,125.41
enwik8,32,0.84,468680.0,1600.0,145.91,126.33
enwik8,32,0.85,475652.0,1600.0,146.56,126.48
enwik8,32,0.88,468504.0,1600.0,143.45,130.77
enwik8,32,0.87,467808.0,1600.0,146.3,126.55
enwik8,32,0.88,471768.0,1600.0,143.33,131.2
enwik8,32,0.86,472300.0,1600.0,146.31,126.92
enwik8,32,0.85,461408.0,1600.0,146.31,126.24
enwik8,1,9.04,462548.0,1800.0,96.63,874.36
enwik8,1,9.04,468780.0,1800.0,96.46,875.68
enwik8,1,9.03,454688.0,1800.0,96.44,867.92
enwik8,1,9.11,462808.0,1800.0,96.51,878.05
enwik8,1,9.04,466608.0,1800.0,96.44,872.64
enwik8,1,9.04,454156.0,1800.0,96.49,873.07
enwik8,1,9.04,450600.0,1800.0,96.45,872.51
enwik8,1,9.04,469208.0,1800.0,96.71,874.94
enwik8,1,9.03,460964.0,1800.0,96.45,872.76
enwik8,1,9.04,454260.0,1800.0,96.47,874.25
enwik8,2,4.73,460284.0,1800.0,102.89,488.77
enwik8,2,4.73,463512.0,1800.0,102.94,488.99
enwik8,2,4.74,464348.0,1800.0,102.98,489.34
enwik8,2,4.74,463832.0,1800.0,102.63,487.54
enwik8,2,4.75,463908.0,1800.0,102.84,488.65
enwik8,2,4.76,461364.0,1800.0,102.99,494.46
enwik8,2,4.74,463156.0,1800.0,102.67,487.01
enwik8,2,4.78,468780.0,1800.0,102.83,493.4
enwik8,2,4.73,465268.0,1800.0,102.84,488.63
enwik8,2,4.74,459032.0,1800.0,102.89,488.85
enwik8,4,2.56,465016.0,1800.0,111.1,284.57
enwik8,4,2.43,468764.0,1800.0,112.14,275.08
enwik8,4,2.55,463136.0,1800.0,111.28,284.51
enwik8,4,2.48,462156.0,1800.0,111.92,280.45
enwik8,4,2.58,458584.0,1800.0,110.84,288.87
enwik8,4,2.52,462572.0,1800.0,111.97,280.4
enwik8,4,2.47,470340.0,1800.0,112.36,276.02
enwik8,4,2.62,466024.0,1800.0,110.92,294.81
