Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
enwik9,1,384.01,4854008.0,990057063.0,1.01,0.0026301398401083306,1200.0,94.64,36343.21
enwik9,1,383.97,4851148.0,990057063.0,1.01,0.0026304138344141466,1200.0,94.62,36333.44
enwik9,1,384.42,4848944.0,990057063.0,1.01,0.0026273346860204985,1200.0,94.61,36371.14
enwik9,1,383.6,4848148.0,990057063.0,1.01,0.0026329509906152238,1200.0,94.59,36284.72
enwik9,1,383.08,4847804.0,990057063.0,1.01,0.0026365250078312624,1200.0,94.6,36242.01
enwik9,1,383.36,4853820.0,990057063.0,1.01,0.002634599332220367,1200.0,94.6,36265.04
enwik9,1,384.1,4853864.0,990057063.0,0.71,0.0018484769591252273,1200.0,94.61,36340.85
enwik9,1,383.23,4855700.0,990057063.0,0.71,0.0018526733293322546,1200.0,94.63,36266.97
enwik9,1,384.3,4853976.0,990057063.0,0.71,0.0018475149622690606,1200.0,94.62,36361.73
enwik9,1,383.62,4851352.0,990057063.0,0.71,0.0018507898441165733,1200.0,94.61,36299.0
enwik9,2,182.71,4203964.0,169056807.0,4.14,0.02265885830003831,1200.0,97.98,17901.22
enwik9,2,181.94,4194252.0,169056807.0,4.14,0.02275475431460921,1200.0,98.0,17830.39
enwik9,2,182.87,4202388.0,169056807.0,2.41,0.013178760868376443,1200.0,97.97,17914.93
enwik9,2,181.07,4203000.0,169056807.0,2.41,0.013309769702325069,1200.0,98.05,17757.67
enwik9,2,182.59,4206080.0,169056807.0,2.41,0.013198970370776057,1200.0,98.0,17894.79
enwik9,2,182.06,4192620.0,169056807.0,2.41,0.013237394265626716,1200.0,98.02,17846.16
enwik9,2,182.21,4202824.0,169056807.0,2.41,0.013226496899182262,1200.0,98.02,17864.57
enwik9,2,182.32,4208272.0,169056807.0,2.41,0.013218516893374287,1200.0,98.03,17871.34
enwik9,2,182.64,4194404.0,169056807.0,0.73,0.003996933858957512,1200.0,98.0,17904.74
enwik9,2,182.34,4204296.0,169056807.0,0.73,0.004003509926510914,1200.0,98.01,17871.69
enwik9,4,87.87,4348100.0,173359677.0,0.72,0.00819392284055992,1200.0,104.77,9203.88
enwik9,4,86.66,4345612.0,173359677.0,0.72,0.00830833141010847,1200.0,105.01,9099.33
enwik9,4,86.82,4341620.0,173359677.0,0.72,0.0082930200414651,1200.0,104.94,9110.44
enwik9,4,87.51,4347580.0,173359677.0,0.72,0.0082276311278711,1200.0,104.85,9175.28
enwik9,4,87.84,4361200.0,173359677.0,1.22,0.013888888888888888,1200.0,104.78,9205.38
enwik9,4,86.66,4347000.0,173359677.0,1.22,0.014078006000461576,1200.0,105.03,9101.24
enwik9,4,86.72,4355692.0,173359677.0,1.22,0.014068265682656829,1200.0,104.96,9107.15
enwik9,4,86.6,4357892.0,173359677.0,1.22,0.014087759815242497,1200.0,105.01,9094.5
enwik9,4,86.67,4349040.0,173359677.0,1.22,0.014076381677627784,1200.0,105.05,9108.25
enwik9,4,87.22,4343556.0,173359677.0,1.22,0.01398761751891768,1200.0,104.94,9156.49
enwik9,8,42.03,3962216.0,176949150.0,0.57,0.013561741613133477,1200.0,111.21,4671.82
enwik9,8,30.07,3978532.0,176949150.0,0.57,0.018955769870302626,1200.0,119.19,3582.95
enwik9,8,30.39,3960296.0,176949150.0,0.57,0.01875616979269496,1200.0,118.88,3615.33
enwik9,8,42.57,3921728.0,176949150.0,0.57,0.013389711064129669,1200.0,110.99,4728.86
enwik9,8,42.36,3908928.0,176949150.0,0.57,0.013456090651558074,1200.0,111.08,4710.05
enwik9,8,29.72,3968512.0,176949150.0,0.57,0.01917900403768506,1200.0,119.15,3545.92
enwik9,8,43.47,3909608.0,176949150.0,5.65,0.12997469519208651,1200.0,110.16,4793.13
enwik9,8,29.69,3990700.0,176949150.0,5.65,0.1902997642303806,1200.0,119.41,3547.54
enwik9,8,29.77,3970952.0,176949150.0,5.65,0.18978837756130332,1200.0,119.56,3558.19
enwik9,8,29.89,3980768.0,176949150.0,5.65,0.18902643024422885,1200.0,118.99,3558.99
enwik9,16,67.55,4301972.0,182865022.0,5.47,0.08097705403404885,1200.0,104.79,7078.87
enwik9,16,65.4,4260700.0,182865022.0,5.47,0.08363914373088684,1200.0,105.65,6910.3
enwik9,16,74.22,4298664.0,182865022.0,3.83,0.05160334141740771,1200.0,103.56,7690.23
enwik9,16,59.24,4278736.0,182865022.0,3.83,0.06465226198514518,1200.0,106.88,6333.23
enwik9,16,67.53,4274844.0,182865022.0,3.83,0.05671553383681328,1200.0,104.71,7068.23
enwik9,16,15.71,4405852.0,182865022.0,3.83,0.2437937619350732,1200.0,144.87,2277.48
enwik9,16,30.75,4333692.0,182865022.0,3.83,0.12455284552845527,1200.0,119.44,3673.24
enwik9,16,30.33,4289252.0,182865022.0,3.83,0.1262776129244972,1200.0,119.67,3633.03
enwik9,16,68.25,4280504.0,182865022.0,2.23,0.032673992673992666,1200.0,104.62,7139.98
enwik9,16,68.02,4300148.0,182865022.0,2.23,0.03278447515436637,1200.0,104.61,7115.78
enwik9,32,97.32,4262124.0,182865022.0,2.23,0.0229140978216194,1200.0,100.75,9808.24
enwik9,32,67.22,4265008.0,182865022.0,2.23,0.033174650401666166,1200.0,104.73,7038.03
enwik9,32,67.31,4270264.0,182865022.0,2.23,0.033130292675679684,1200.0,104.85,7056.8
enwik9,32,67.57,4268980.0,182865022.0,2.23,0.03300281189877165,1200.0,104.63,7067.31
enwik9,32,67.72,4369888.0,182865022.0,0.68,0.01004134672179563,1200.0,104.74,7096.05
enwik9,32,96.9,4314476.0,182865022.0,0.68,0.007017543859649123,1200.0,100.69,9757.82
enwik9,32,51.43,4274256.0,182865022.0,0.68,0.013221854948473655,1200.0,108.86,5596.22
enwik9,32,18.03,4290772.0,182865022.0,0.68,0.03771491957848031,1200.0,139.06,2512.39
enwik9,32,38.04,4274040.0,182865022.0,0.68,0.01787592008412198,1200.0,114.1,4341.77
enwik9,32,98.07,4271780.0,182865022.0,0.68,0.006933822779647192,1200.0,100.59,9862.42
enwik9,1,292.49,4853920.0,990057063.0,1.01,0.003453109508017368,1600.0,97.75,28695.15
enwik9,1,293.52,4855692.0,990057063.0,1.01,0.003440992095938948,1600.0,97.77,28690.51
enwik9,1,293.48,4848944.0,990057063.0,1.01,0.0034414610876379987,1600.0,97.75,28647.9
enwik9,1,293.05,4848952.0,990057063.0,1.01,0.003446510834328613,1600.0,97.78,28605.17
enwik9,1,292.56,4848140.0,990057063.0,1.01,0.0034522832923161067,1600.0,97.77,28714.92
enwik9,1,293.71,4848944.0,990057063.0,1.01,0.003438766129855981,1600.0,97.77,28652.47
enwik9,1,293.03,4847768.0,990057063.0,0.71,0.00242296010647374,1600.0,97.79,28617.4
enwik9,1,292.63,4848024.0,990057063.0,0.71,0.002426272084201893,1600.0,97.78,28636.55
enwik9,1,292.8,4847732.0,990057063.0,0.71,0.002424863387978142,1600.0,97.78,28610.86
