Name,TR,TIM,MEM,FR,POW,EN
app4,1,53.0,527963.6,1200.0,92.22,4887.81
app4,2,52.2,534882.0,1200.0,92.36,4821.47
app4,4,51.97,533384.8,1200.0,92.38,4801.69
app4,8,51.63,534870.0,1200.0,92.43,4773.51
app4,16,51.66,532502.8,1200.0,92.57,4784.26
app4,32,51.67,533144.8,1200.0,92.72,4792.48
app4,1,48.85,528857.6,1300.0,92.9,4538.56
app4,2,48.19,533200.0,1300.0,93.02,4483.21
app4,4,47.88,532455.6,1300.0,93.04,4455.93
app4,8,47.69,533033.2,1300.0,93.11,4440.0
app4,16,47.72,533558.8,1300.0,93.25,4451.98
app4,32,47.82,532387.6,1300.0,93.18,4456.55
app4,1,45.34,528635.2,1400.0,93.61,4244.65
app4,2,44.82,535044.4,1400.0,93.71,4200.3
app4,4,44.44,533010.8,1400.0,93.8,4169.85
app4,8,44.27,533841.6,1400.0,93.84,4154.91
app4,16,44.35,533360.8,1400.0,94.07,4172.59
app4,32,44.34,533616.0,1400.0,94.05,4170.14
app4,1,39.66,528210.0,1600.0,95.1,3772.81
app4,2,39.17,532748.8,1600.0,95.36,3735.31
app4,4,38.89,532268.4,1600.0,95.46,3712.69
app4,8,38.78,532684.8,1600.0,95.38,3701.0
app4,16,38.79,533097.2,1600.0,95.64,3711.49
app4,32,38.8,532746.4,1600.0,95.71,3713.09
app4,1,37.34,528475.6,1700.0,96.06,3587.2
app4,2,36.86,533074.0,1700.0,96.19,3547.64
app4,4,36.61,532350.0,1700.0,96.23,3523.63
app4,8,36.47,533453.6,1700.0,96.11,3505.78
app4,16,36.55,532812.4,1700.0,96.46,3526.35
app4,32,36.51,533608.0,1700.0,96.25,3515.28
app4,1,35.28,528764.0,1800.0,96.7,3411.17
app4,2,34.83,533551.2,1800.0,97.04,3380.67
app4,4,34.63,532179.2,1800.0,96.96,3356.77
app4,8,34.47,533580.0,1800.0,96.92,3340.56
app4,16,34.52,530832.8,1800.0,97.21,3356.1
app4,32,34.58,532538.0,1800.0,97.31,3364.38
app4,1,33.43,529270.8,1900.0,97.89,3273.31
app4,2,32.99,533449.6,1900.0,98.13,3236.97
app4,4,32.77,533927.2,1900.0,98.12,3216.98
app4,8,32.64,535198.0,1900.0,98.07,3201.24
app4,16,32.7,532366.8,1900.0,98.42,3219.61
app4,32,32.73,531551.2,1900.0,98.27,3216.85
app4,1,31.82,528012.8,2000.0,99.44,3165.04
app4,2,31.39,533055.6,2000.0,99.56,3126.07
app4,4,31.14,533572.4,2000.0,99.62,3102.47
app4,8,31.03,534299.6,2000.0,99.72,3094.19
app4,16,31.05,531987.2,2000.0,99.91,3103.47
app4,32,31.06,532567.2,2000.0,100.01,3106.65
app4,1,28.91,528606.8,2200.0,101.42,2933.23
app4,2,28.52,534618.8,2200.0,101.63,2899.19
app4,4,28.31,533982.4,2200.0,101.66,2878.61
app4,8,28.19,533973.6,2200.0,101.71,2868.58
app4,16,28.24,532826.4,2200.0,102.0,2881.81
app4,32,28.3,533293.6,2200.0,101.95,2887.52
app4,1,27.66,528197.6,2300.0,102.39,2830.9
app4,2,27.27,533882.4,2300.0,102.46,2795.35
app4,4,27.09,531957.2,2300.0,102.69,2781.46
app4,8,26.99,535878.4,2300.0,102.57,2769.2
app4,16,27.05,533144.4,2300.0,103.06,2787.94
app4,32,27.03,533396.4,2300.0,103.19,2790.49
app4,1,26.5,527008.8,2400.0,103.49,2743.69
app4,2,26.15,533398.0,2400.0,103.67,2710.81
app4,4,25.99,533122.8,2400.0,103.83,2698.31
app4,8,25.86,534552.8,2400.0,103.86,2686.69
app4,16,25.91,533095.6,2400.0,104.3,2703.18
app4,32,25.91,532340.8,2400.0,104.24,2701.27
app4,1,25.46,528497.6,2500.0,104.75,2666.59
app4,2,25.1,531271.2,2500.0,104.95,2634.12
app4,4,25.03,534487.6,2500.0,104.81,2623.57
app4,8,24.86,534632.4,2500.0,104.96,2609.25
app4,16,24.89,533908.0,2500.0,105.44,2627.48
app4,32,24.9,531946.0,2500.0,105.36,2624.5
app4,1,23.62,528192.0,2700.0,106.88,2524.44
app4,2,23.31,532912.8,2700.0,107.01,2495.15
app4,4,23.08,532990.0,2700.0,107.32,2477.59
app4,8,23.03,534102.4,2700.0,107.38,2473.13
app4,16,23.1,532132.0,2700.0,107.88,2492.77
app4,32,23.06,532550.8,2700.0,107.72,2484.94
app4,1,22.72,528236.4,2800.0,108.2,2459.05
app4,2,22.42,534860.4,2800.0,108.28,2427.24
app4,4,22.28,533924.8,2800.0,108.53,2418.62
app4,8,22.18,532032.4,2800.0,108.48,2406.74
app4,16,22.24,532901.6,2800.0,109.05,2426.53
app4,32,22.23,532226.0,2800.0,109.2,2427.98
app4,1,21.95,527078.4,2900.0,109.42,2402.61
app4,2,21.71,533264.8,2900.0,109.7,2382.94
app4,4,21.53,533124.8,2900.0,109.81,2364.08
app4,8,21.44,533284.4,2900.0,110.01,2359.99
app4,16,21.5,533114.4,2900.0,110.46,2374.55
app4,32,21.49,532556.4,2900.0,110.5,2375.2
app4,1,16.89,528062.4,2901.0,132.29,2235.64
app4,2,16.7,532464.0,2901.0,132.73,2216.78
app4,4,16.61,534637.2,2901.0,132.97,2209.37
app4,8,16.59,532738.0,2901.0,133.58,2215.66
app4,16,16.64,532752.0,2901.0,135.67,2258.93
app4,32,16.65,531845.2,2901.0,135.19,2251.33
