Name,TR,TIM,MEM,FR,POW,EN
app4,1,36.95,5122.4,1200.0,92.92,3435.29
app4,2,17.89,16841.6,1200.0,96.93,1734.46
app4,4,9.06,29385.2,1200.0,102.3,928.33
app4,8,4.76,53554.0,1200.0,112.0,534.1
app4,16,2.82,98563.2,1200.0,127.1,359.55
app4,32,2.11,194161.2,1200.0,134.88,286.84
app4,1,33.68,4933.2,1300.0,93.41,3146.05
app4,2,16.51,16988.0,1300.0,98.08,1621.6
app4,4,8.37,29294.8,1300.0,104.21,872.78
app4,8,4.36,53270.8,1300.0,115.19,504.26
app4,16,2.65,97539.2,1300.0,130.09,347.22
app4,32,1.96,195327.2,1300.0,139.27,275.91
app4,1,31.72,4914.0,1400.0,94.23,2990.42
app4,2,15.33,16880.4,1400.0,99.36,1525.24
app4,4,7.84,29576.8,1400.0,105.97,832.22
app4,8,4.05,53217.6,1400.0,117.82,479.95
app4,16,2.45,95222.0,1400.0,134.61,333.31
app4,32,1.83,193133.2,1400.0,144.29,268.14
app4,1,27.63,4909.6,1600.0,95.71,2643.72
app4,2,13.38,17281.6,1600.0,102.39,1370.66
app4,4,6.76,29109.2,1600.0,111.15,752.82
app4,8,3.51,52967.6,1600.0,123.97,437.14
app4,16,2.13,97905.6,1600.0,144.35,310.95
app4,32,1.57,187757.2,1600.0,155.52,248.9
app4,1,24.42,4919.2,1800.0,97.74,2388.11
app4,2,11.87,16848.8,1800.0,105.25,1249.32
app4,4,6.04,29463.6,1800.0,115.25,697.4
app4,8,3.17,54085.6,1800.0,130.18,414.2
app4,16,1.92,97322.4,1800.0,153.92,297.35
app4,32,1.43,188834.4,1800.0,166.79,240.12
app4,1,20.02,4909.2,2200.0,101.87,2038.93
app4,2,9.72,16866.0,2200.0,113.48,1103.77
app4,4,4.92,29478.8,2200.0,125.68,620.03
app4,8,2.61,53128.0,2200.0,145.69,382.25
app4,16,1.57,96510.0,2200.0,179.0,282.8
app4,32,1.21,190014.8,2200.0,192.6,234.76
app4,1,18.2,5125.6,2400.0,104.0,1892.65
app4,2,8.94,16858.8,2400.0,116.96,1046.94
app4,4,4.52,29167.6,2400.0,131.06,593.53
app4,8,2.38,53006.8,2400.0,155.56,370.65
app4,16,1.5,99646.0,2400.0,189.02,286.53
app4,32,1.1,187142.0,2400.0,208.61,233.9
app4,1,16.35,4909.2,2700.0,107.73,1760.71
app4,2,7.92,16740.0,2700.0,123.92,983.03
app4,4,4.03,29378.0,2700.0,141.24,570.64
app4,8,2.13,53462.4,2700.0,170.49,365.38
app4,16,1.33,96565.6,2700.0,213.26,289.13
app4,32,1.02,191346.4,2700.0,231.72,243.31
app4,1,11.46,4914.8,2901.0,133.11,1524.96
app4,2,5.76,16776.4,2901.0,166.25,959.06
app4,4,3.02,29390.8,2901.0,194.85,589.4
app4,8,1.71,53484.4,2901.0,231.58,399.19
app4,16,1.11,99015.6,2901.0,285.35,327.17
app4,32,0.86,192491.6,2901.0,314.69,277.32
app4,1,26.04,4910.8,1700.0,96.04,2501.27
app4,2,12.58,17006.8,1700.0,103.58,1303.59
app4,4,6.38,29545.6,1700.0,113.09,721.83
app4,8,3.35,53417.6,1700.0,126.52,424.53
app4,16,1.99,96784.8,1700.0,149.63,299.56
app4,32,1.52,188980.4,1700.0,159.78,243.22
app4,1,23.2,4909.2,1900.0,98.08,2277.45
app4,2,11.31,16979.2,1900.0,106.84,1210.24
app4,4,5.84,29365.2,1900.0,117.45,685.41
app4,8,3.04,53353.2,1900.0,133.65,405.74
app4,16,1.94,98685.6,1900.0,156.12,307.4
app4,32,1.48,185908.8,1900.0,169.11,252.93
app4,1,19.25,4910.0,2300.0,103.76,1998.37
app4,2,9.33,16864.0,2300.0,115.42,1077.05
app4,4,4.75,29514.4,2300.0,128.86,614.5
app4,8,2.51,53349.2,2300.0,150.8,380.92
app4,16,1.6,97472.4,2300.0,182.12,293.25
app4,32,1.22,189074.0,2300.0,197.64,245.26
app4,1,17.93,4910.0,2500.0,105.87,1898.53
app4,2,8.61,17038.0,2500.0,120.67,1039.66
app4,4,4.38,29482.4,2500.0,135.48,596.7
app4,8,2.32,53004.8,2500.0,160.74,373.34
app4,16,1.51,100030.0,2500.0,193.21,297.87
app4,32,1.18,193163.6,2500.0,211.0,252.29
app4,1,15.96,4918.8,2800.0,110.86,1770.68
app4,2,7.86,16701.6,2800.0,126.87,995.15
app4,4,3.9,29372.8,2800.0,147.54,577.33
app4,8,2.07,53213.6,2800.0,178.9,373.71
app4,16,1.34,98947.6,2800.0,219.73,298.33
app4,32,1.04,190324.4,2800.0,240.97,252.79
app4,1,15.36,4914.8,2900.0,111.77,1718.09
app4,2,7.4,16768.0,2900.0,130.1,964.37
app4,4,3.85,29451.2,2900.0,149.74,575.51
app4,8,2.01,52984.8,2900.0,185.48,374.5
app4,16,1.35,99156.4,2900.0,226.1,308.24
app4,32,1.02,191805.2,2900.0,249.81,260.73
app4,1,22.15,4910.4,2000.0,100.33,2223.1
app4,2,10.73,16792.4,2000.0,110.25,1183.15
app4,4,5.45,29444.4,2000.0,120.68,657.93
app4,8,2.87,53464.8,2000.0,137.49,397.78
app4,16,1.76,97191.6,2000.0,164.43,294.53
app4,32,1.33,190587.2,2000.0,178.43,238.92
