Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.wav,1,4.66,893.6,1200.0,93.04,434.79
cr_audio1.wav,2,3.74,1024.0,1200.0,96.67,362.8
cr_audio1.wav,4,3.76,1022.8,1200.0,96.57,364.49
cr_audio1.wav,8,3.77,1023.6,1200.0,96.45,364.08
cr_audio1.wav,16,3.87,1023.6,1200.0,96.63,375.93
cr_audio1.wav,32,3.68,1022.8,1200.0,96.97,357.0
cr_audio1.wav,1,3.58,895.2,1600.0,95.53,342.54
cr_audio1.wav,2,3.05,1023.2,1600.0,99.6,304.12
cr_audio1.wav,4,3.03,1023.6,1600.0,100.35,303.94
cr_audio1.wav,8,3.04,1023.6,1600.0,100.04,308.53
cr_audio1.wav,16,2.97,1023.6,1600.0,100.98,300.91
cr_audio1.wav,32,2.97,1023.6,1600.0,100.24,298.47
cr_audio1.wav,1,3.27,895.2,1800.0,97.08,317.8
cr_audio1.wav,2,2.83,1024.0,1800.0,101.17,286.64
cr_audio1.wav,4,2.79,1224.4,1800.0,101.46,283.83
cr_audio1.wav,8,2.77,1023.6,1800.0,101.64,282.5
cr_audio1.wav,16,2.86,1024.0,1800.0,100.83,289.23
cr_audio1.wav,32,2.73,1024.0,1800.0,101.92,279.47
cr_audio1.wav,1,2.92,894.8,2200.0,99.29,291.59
cr_audio1.wav,2,2.46,1022.8,2200.0,105.0,260.11
cr_audio1.wav,4,2.38,1024.0,2200.0,105.79,253.69
cr_audio1.wav,8,2.41,1022.8,2200.0,105.64,256.41
cr_audio1.wav,16,2.42,1023.6,2200.0,105.72,257.54
cr_audio1.wav,32,2.44,1024.0,2200.0,105.19,256.82
cr_audio1.wav,1,2.73,894.4,2400.0,100.39,275.1
cr_audio1.wav,2,2.33,1023.6,2400.0,108.54,254.18
cr_audio1.wav,4,2.32,1224.0,2400.0,107.77,251.71
cr_audio1.wav,8,2.33,1022.4,2400.0,108.83,254.92
cr_audio1.wav,16,2.29,1023.2,2400.0,108.96,250.78
cr_audio1.wav,32,2.31,1023.2,2400.0,107.49,249.22
cr_audio1.wav,1,2.55,895.6,2700.0,103.47,264.03
cr_audio1.wav,2,2.15,1023.6,2700.0,111.68,242.1
cr_audio1.wav,4,2.16,1023.2,2700.0,110.92,239.76
cr_audio1.wav,8,2.26,1023.2,2700.0,112.0,254.01
cr_audio1.wav,16,2.15,1023.6,2700.0,112.52,242.6
cr_audio1.wav,32,2.23,1022.8,2700.0,111.67,250.67
cr_audio1.wav,1,2.04,893.6,2901.0,121.35,249.34
cr_audio1.wav,2,1.83,1023.6,2901.0,144.28,265.5
cr_audio1.wav,4,1.87,1023.6,2901.0,143.0,268.48
cr_audio1.wav,8,1.87,1024.0,2901.0,143.23,266.69
cr_audio1.wav,16,1.89,1023.2,2901.0,142.97,272.1
cr_audio1.wav,32,1.83,1224.4,2901.0,144.24,265.64
cr_audio1.wav,1,4.4,895.2,1300.0,93.49,411.79
cr_audio1.wav,2,3.57,1023.2,1300.0,99.04,355.22
cr_audio1.wav,4,3.55,1024.0,1300.0,99.11,351.85
cr_audio1.wav,8,3.51,1023.2,1300.0,99.18,348.81
cr_audio1.wav,16,3.57,1024.0,1300.0,99.06,354.92
cr_audio1.wav,32,3.55,1023.2,1300.0,99.11,353.42
cr_audio1.wav,1,3.54,894.8,1700.0,96.37,342.33
cr_audio1.wav,2,2.92,1022.4,1700.0,102.38,299.99
cr_audio1.wav,4,2.97,1022.8,1700.0,102.42,305.41
cr_audio1.wav,8,2.92,1022.4,1700.0,101.95,300.62
cr_audio1.wav,16,2.96,1023.6,1700.0,102.09,302.42
cr_audio1.wav,32,3.09,1023.6,1700.0,101.65,314.87
cr_audio1.wav,1,3.29,895.6,1900.0,96.91,318.74
cr_audio1.wav,2,2.75,1024.0,1900.0,104.2,291.94
cr_audio1.wav,4,2.81,1023.2,1900.0,104.94,296.7
cr_audio1.wav,8,2.79,1022.8,1900.0,105.28,294.85
cr_audio1.wav,16,2.68,1022.0,1900.0,105.02,283.22
cr_audio1.wav,32,2.76,1022.8,1900.0,105.27,290.77
cr_audio1.wav,1,2.84,895.6,2300.0,100.99,288.25
cr_audio1.wav,2,2.34,1023.6,2300.0,110.37,258.85
cr_audio1.wav,4,2.37,1023.2,2300.0,110.14,262.08
cr_audio1.wav,8,2.33,1022.8,2300.0,110.04,257.63
cr_audio1.wav,16,2.4,1022.8,2300.0,110.21,264.73
cr_audio1.wav,32,2.39,1023.6,2300.0,110.2,264.28
cr_audio1.wav,1,2.63,895.2,2500.0,102.15,268.19
cr_audio1.wav,2,2.31,1023.6,2500.0,112.1,259.88
cr_audio1.wav,4,2.32,1022.4,2500.0,112.05,262.07
cr_audio1.wav,8,2.29,1023.6,2500.0,112.92,258.91
cr_audio1.wav,16,2.28,1023.2,2500.0,113.19,257.68
cr_audio1.wav,32,2.35,1022.4,2500.0,112.56,265.45
cr_audio1.wav,1,2.38,894.0,2800.0,105.76,252.17
cr_audio1.wav,2,2.16,1023.2,2800.0,115.42,250.38
cr_audio1.wav,4,2.12,1023.2,2800.0,117.13,250.03
cr_audio1.wav,8,2.12,1223.6,2800.0,116.98,250.16
cr_audio1.wav,16,2.11,1021.6,2800.0,117.03,249.01
cr_audio1.wav,32,2.1,1023.2,2800.0,118.03,247.61
cr_audio1.wav,1,4.14,894.8,1400.0,95.16,394.64
cr_audio1.wav,2,3.38,1024.0,1400.0,100.32,340.51
cr_audio1.wav,4,3.5,1023.2,1400.0,99.86,353.62
cr_audio1.wav,8,3.37,1023.2,1400.0,100.14,338.86
cr_audio1.wav,16,3.46,1023.2,1400.0,99.84,346.63
cr_audio1.wav,32,3.31,1024.0,1400.0,100.44,333.07
cr_audio1.wav,1,2.41,894.4,2900.0,105.6,256.13
cr_audio1.wav,2,2.11,1023.6,2900.0,117.66,248.34
cr_audio1.wav,4,2.11,1023.6,2900.0,119.03,252.79
cr_audio1.wav,8,2.08,1022.8,2900.0,120.19,250.41
cr_audio1.wav,16,2.14,1022.8,2900.0,118.53,255.91
cr_audio1.wav,32,2.09,1023.2,2900.0,120.43,252.06
cr_audio1.wav,1,3.1,895.2,2000.0,98.96,307.9
cr_audio1.wav,2,2.6,1023.6,2000.0,106.42,277.83
cr_audio1.wav,4,2.64,1424.8,2000.0,106.76,281.9
cr_audio1.wav,8,2.68,1023.2,2000.0,105.47,282.95
cr_audio1.wav,16,2.66,1223.6,2000.0,106.98,285.23
cr_audio1.wav,32,2.59,1022.4,2000.0,107.25,279.11
