Name,TR,TIM,MEM,FR,POW,EN
enwik8,1,1.76,900.0,1200.0,93.91,164.72
enwik8,1,1.76,900.0,1200.0,94.11,164.67
enwik8,1,1.93,900.0,1200.0,93.88,178.76
enwik8,1,1.76,900.0,1200.0,94.36,164.22
enwik8,1,1.75,896.0,1200.0,93.71,168.99
enwik8,1,1.78,900.0,1200.0,93.95,169.54
enwik8,1,1.76,900.0,1200.0,93.45,168.49
enwik8,1,1.76,900.0,1200.0,93.83,164.51
enwik8,1,1.75,896.0,1200.0,93.59,168.53
enwik8,1,1.76,900.0,1200.0,93.79,163.71
enwik8,2,1.34,1028.0,1200.0,96.68,131.01
enwik8,2,1.36,1028.0,1200.0,97.39,132.42
enwik8,2,1.34,1024.0,1200.0,97.91,132.23
enwik8,2,1.34,1028.0,1200.0,97.93,132.45
enwik8,2,1.34,1024.0,1200.0,97.75,132.15
enwik8,2,1.34,1028.0,1200.0,97.77,133.25
enwik8,2,1.54,1028.0,1200.0,97.19,150.97
enwik8,2,1.37,1028.0,1200.0,97.73,132.19
enwik8,2,1.34,1028.0,1200.0,97.7,131.76
enwik8,2,1.34,1028.0,1200.0,97.77,131.1
enwik8,4,1.34,1024.0,1200.0,96.01,154.59
enwik8,4,1.34,1028.0,1200.0,97.9,132.34
enwik8,4,1.35,1028.0,1200.0,97.27,136.85
enwik8,4,1.34,1028.0,1200.0,97.91,132.49
enwik8,4,1.33,1024.0,1200.0,97.75,134.1
enwik8,4,1.34,1028.0,1200.0,97.7,132.06
enwik8,4,1.34,1028.0,1200.0,97.47,131.99
enwik8,4,1.34,1028.0,1200.0,98.84,133.52
enwik8,4,1.39,1028.0,1200.0,96.97,136.47
enwik8,4,1.34,1028.0,1200.0,98.07,132.75
enwik8,8,1.34,1028.0,1200.0,97.64,132.18
enwik8,8,1.34,1028.0,1200.0,97.36,131.78
enwik8,8,1.34,1028.0,1200.0,97.97,132.56
enwik8,8,1.34,1028.0,1200.0,97.94,132.53
enwik8,8,1.36,1028.0,1200.0,97.29,136.82
enwik8,8,1.34,1028.0,1200.0,97.52,132.01
enwik8,8,1.34,1028.0,1200.0,97.6,132.27
enwik8,8,1.34,1028.0,1200.0,97.62,132.05
enwik8,8,1.34,1028.0,1200.0,97.54,132.46
enwik8,8,1.34,1028.0,1200.0,97.86,132.59
enwik8,16,1.37,1028.0,1200.0,97.87,132.78
enwik8,16,1.34,1028.0,1200.0,97.74,132.29
enwik8,16,1.34,1028.0,1200.0,97.71,130.87
enwik8,16,1.36,1028.0,1200.0,97.39,131.7
enwik8,16,1.34,1028.0,1200.0,97.88,132.35
enwik8,16,1.34,1028.0,1200.0,97.52,131.88
enwik8,16,1.36,1028.0,1200.0,98.47,133.26
enwik8,16,1.34,1028.0,1200.0,97.86,132.31
enwik8,16,1.34,1028.0,1200.0,97.21,131.76
enwik8,16,1.34,1028.0,1200.0,96.88,131.16
enwik8,32,1.34,1024.0,1200.0,98.48,133.64
enwik8,32,1.34,1024.0,1200.0,98.37,132.8
enwik8,32,1.34,1024.0,1200.0,98.41,132.16
enwik8,32,1.34,1024.0,1200.0,98.43,132.61
enwik8,32,1.35,1024.0,1200.0,99.18,134.5
enwik8,32,1.36,1024.0,1200.0,98.43,133.18
enwik8,32,1.34,1020.0,1200.0,98.34,132.78
enwik8,32,1.34,1024.0,1200.0,98.59,133.03
enwik8,32,1.34,1020.0,1200.0,98.48,132.97
enwik8,32,1.35,1020.0,1200.0,98.4,132.89
enwik8,1,1.33,896.0,1600.0,97.45,130.76
enwik8,1,1.33,896.0,1600.0,97.47,126.65
enwik8,1,1.36,896.0,1600.0,97.19,131.01
enwik8,1,1.33,900.0,1600.0,97.47,131.24
enwik8,1,1.33,892.0,1600.0,97.51,131.57
enwik8,1,1.33,896.0,1600.0,97.45,131.0
enwik8,1,1.33,896.0,1600.0,97.51,127.2
enwik8,1,1.33,896.0,1600.0,97.51,131.13
enwik8,1,1.28,896.0,1600.0,97.75,127.0
enwik8,1,1.33,896.0,1600.0,97.44,126.27
enwik8,2,1.02,1024.0,1600.0,102.22,102.24
enwik8,2,1.02,1024.0,1600.0,101.92,107.17
enwik8,2,1.0,1020.0,1600.0,101.58,106.71
enwik8,2,1.07,1024.0,1600.0,101.59,112.35
enwik8,2,1.02,1024.0,1600.0,101.96,107.29
enwik8,2,1.03,1024.0,1600.0,103.25,103.3
enwik8,2,1.03,1020.0,1600.0,102.15,102.56
enwik8,2,1.0,1024.0,1600.0,101.77,101.8
enwik8,2,1.0,1020.0,1600.0,101.6,106.54
enwik8,2,1.05,1024.0,1600.0,102.96,108.17
enwik8,4,1.02,1024.0,1600.0,102.03,107.23
enwik8,4,1.02,1024.0,1600.0,102.43,102.36
enwik8,4,1.0,1024.0,1600.0,103.24,103.2
enwik8,4,1.02,1020.0,1600.0,102.64,108.48
enwik8,4,1.0,1024.0,1600.0,103.09,103.25
enwik8,4,1.03,1024.0,1600.0,101.64,106.88
enwik8,4,1.02,1020.0,1600.0,102.18,102.1
enwik8,4,1.02,1024.0,1600.0,101.97,107.3
enwik8,4,1.02,1024.0,1600.0,102.19,107.54
enwik8,4,1.02,1024.0,1600.0,101.88,107.33
enwik8,8,1.01,1024.0,1600.0,102.37,102.4
enwik8,8,1.06,1020.0,1600.0,102.09,107.2
enwik8,8,1.01,1024.0,1600.0,101.55,105.49
enwik8,8,1.03,1024.0,1600.0,103.08,103.13
enwik8,8,1.02,1024.0,1600.0,102.39,102.43
