Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
enwik9,1,115.22,1364.0,324068808.0,3.09,0.02681826071862524,1200.0,90.95,10478.75
enwik9,2,58.66,2559.2,324068808.0,3.09,0.0526764405046028,1200.0,94.67,5553.45
enwik9,4,29.57,3855.2,324068808.0,3.09,0.10449780182617516,1200.0,99.87,2953.66
enwik9,8,16.09,6343.2,324068808.0,3.09,0.19204474829086388,1200.0,109.66,1766.29
enwik9,16,9.37,11823.6,324068808.0,3.09,0.3297758804695838,1200.0,121.33,1137.73
enwik9,32,7.16,22465.6,324068808.0,3.09,0.4315642458100558,1200.0,126.27,904.08
enwik9,1,86.56,1362.8,324068808.0,3.09,0.03569778188539741,1600.0,93.85,8123.7
enwik9,2,44.05,2571.2,324068808.0,3.09,0.07014755959137342,1600.0,100.34,4420.67
enwik9,4,22.86,3792.8,324068808.0,3.09,0.13517060367454067,1600.0,108.9,2491.61
enwik9,8,12.22,6332.8,324068808.0,3.09,0.25286415711947624,1600.0,120.85,1477.69
enwik9,16,7.45,11630.8,324068808.0,3.09,0.4147651006711409,1600.0,135.94,1015.49
enwik9,32,5.73,22348.8,324068808.0,3.09,0.5392670157068062,1600.0,141.45,812.67
enwik9,1,77.31,1363.6,324068808.0,3.09,0.03996895615056266,1800.0,95.39,7374.88
enwik9,2,39.28,2598.0,324068808.0,3.09,0.07866598778004072,1800.0,103.65,4070.92
enwik9,4,20.45,3792.8,324068808.0,3.09,0.15110024449877751,1800.0,113.01,2310.87
enwik9,8,11.14,6376.8,324068808.0,3.09,0.27737881508078993,1800.0,127.05,1417.57
enwik9,16,6.79,11822.4,324068808.0,3.09,0.4550810014727541,1800.0,144.42,982.26
enwik9,32,5.21,21931.2,324068808.0,3.09,0.5930902111324377,1800.0,151.47,791.37
enwik9,1,63.47,1362.4,324068808.0,3.09,0.04868441783519773,2200.0,99.88,6339.68
enwik9,2,32.25,2498.8,324068808.0,3.09,0.09581395348837207,2200.0,111.45,3596.75
enwik9,4,17.0,3747.6,324068808.0,3.09,0.1817647058823529,2200.0,122.86,2091.13
enwik9,8,9.18,6347.6,324068808.0,3.09,0.33660130718954245,2200.0,142.01,1304.96
enwik9,16,5.74,11835.6,324068808.0,3.09,0.5383275261324041,2200.0,163.76,942.4
enwik9,32,4.7,22147.6,324068808.0,3.09,0.6574468085106382,2200.0,168.25,794.76
enwik9,1,58.02,1363.2,324068808.0,3.09,0.05325749741468458,2400.0,101.85,5909.88
enwik9,2,29.52,2588.0,324068808.0,3.09,0.10467479674796748,2400.0,114.85,3389.98
enwik9,4,15.55,3828.8,324068808.0,3.09,0.19871382636655946,2400.0,128.22,1992.99
enwik9,8,8.92,6535.2,324068808.0,3.09,0.3464125560538117,2400.0,148.36,1326.32
enwik9,16,5.36,11619.6,324068808.0,3.09,0.5764925373134328,2400.0,175.84,945.76
enwik9,32,4.32,22748.8,324068808.0,3.09,0.7152777777777777,2400.0,181.05,786.44
enwik9,1,51.78,1362.4,324068808.0,3.09,0.05967555040556199,2700.0,105.2,5447.1
enwik9,2,26.98,2529.6,324068808.0,3.09,0.114529280948851,2700.0,120.18,3244.69
enwik9,4,14.1,3768.0,324068808.0,3.09,0.21914893617021275,2700.0,138.05,1947.59
enwik9,8,7.74,6384.0,324068808.0,3.09,0.3992248062015504,2700.0,165.15,1280.35
enwik9,16,4.88,11822.8,324068808.0,3.09,0.6331967213114754,2700.0,196.76,962.78
enwik9,32,4.05,22503.2,324068808.0,3.09,0.762962962962963,2700.0,198.87,808.9
enwik9,1,37.34,1362.8,324068808.0,3.09,0.08275307980717728,2901.0,129.16,4823.27
enwik9,2,19.93,2526.0,324068808.0,3.09,0.1550426492724536,2901.0,164.72,3281.85
enwik9,4,11.29,3795.2,324068808.0,3.09,0.2736935341009743,2901.0,190.8,2156.94
enwik9,8,6.57,6409.6,324068808.0,3.09,0.4703196347031963,2901.0,223.29,1464.63
enwik9,16,4.49,12235.6,324068808.0,3.09,0.6881959910913139,2901.0,251.19,1130.95
enwik9,32,3.62,22298.4,324068808.0,3.09,0.8535911602209945,2901.0,259.79,952.55
enwik9,1,106.28,1363.6,324068808.0,3.09,0.02907414377117049,1300.0,91.27,9700.13
enwik9,2,54.61,2635.6,324068808.0,3.09,0.056583043398644936,1300.0,95.57,5219.49
enwik9,4,27.6,3808.4,324068808.0,3.09,0.11195652173913044,1300.0,101.56,2803.83
