Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.wav,1,39.46,26194.8,1200.0,94.33,3371.38
cr_audio1.wav,2,30.28,36170.8,1200.0,95.33,2975.81
cr_audio1.wav,4,20.69,74164.0,1200.0,97.2,2104.75
cr_audio1.wav,8,14.33,170102.8,1200.0,99.14,1481.75
cr_audio1.wav,16,9.85,201887.6,1200.0,101.88,1050.09
cr_audio1.wav,32,6.94,287687.2,1200.0,106.56,769.7
cr_audio1.wav,1,29.62,26197.2,1600.0,97.42,2594.48
cr_audio1.wav,2,22.8,36420.0,1600.0,98.31,2312.09
cr_audio1.wav,4,15.79,74859.6,1600.0,101.54,1670.14
cr_audio1.wav,8,10.76,170487.2,1600.0,105.3,1193.5
cr_audio1.wav,16,7.47,209031.6,1600.0,109.85,852.07
cr_audio1.wav,32,5.41,286044.4,1600.0,114.2,644.08
cr_audio1.wav,1,26.62,26404.0,1800.0,99.11,2371.12
cr_audio1.wav,2,20.45,36336.4,1800.0,100.02,2101.79
cr_audio1.wav,4,14.06,72637.6,1800.0,104.31,1532.23
cr_audio1.wav,8,9.68,165190.0,1800.0,108.48,1097.41
cr_audio1.wav,16,6.7,210577.2,1800.0,113.42,795.9
cr_audio1.wav,32,4.87,286551.6,1800.0,119.09,605.67
cr_audio1.wav,1,21.81,26116.0,2200.0,103.74,2037.5
cr_audio1.wav,2,16.75,36430.0,2200.0,105.7,1824.15
cr_audio1.wav,4,11.79,74200.0,2200.0,110.42,1353.41
cr_audio1.wav,8,8.11,170778.0,2200.0,116.44,985.15
cr_audio1.wav,16,5.58,209570.0,2200.0,122.17,719.09
cr_audio1.wav,32,4.11,287342.0,2200.0,131.54,553.67
cr_audio1.wav,1,20.08,26014.8,2400.0,106.79,1906.51
cr_audio1.wav,2,15.57,36276.4,2400.0,108.17,1733.08
cr_audio1.wav,4,10.92,72989.6,2400.0,113.71,1297.29
cr_audio1.wav,8,7.62,171677.6,2400.0,120.05,953.2
cr_audio1.wav,16,5.19,206212.4,2400.0,127.58,692.53
cr_audio1.wav,32,3.84,285871.6,2400.0,135.53,539.79
cr_audio1.wav,1,17.97,26068.8,2700.0,110.88,1770.18
cr_audio1.wav,2,13.9,36654.8,2700.0,112.29,1605.66
cr_audio1.wav,4,9.81,72302.4,2700.0,118.92,1213.55
cr_audio1.wav,8,6.7,172052.8,2700.0,127.5,898.96
cr_audio1.wav,16,4.86,207284.4,2700.0,133.46,677.92
cr_audio1.wav,32,3.5,287353.2,2700.0,146.78,533.99
cr_audio1.wav,1,13.08,26053.2,2901.0,139.97,1623.68
cr_audio1.wav,2,10.22,36451.2,2901.0,144.86,1511.47
cr_audio1.wav,4,7.3,75270.4,2901.0,152.86,1165.83
cr_audio1.wav,8,5.26,170752.8,2901.0,167.5,918.05
cr_audio1.wav,16,3.75,201218.8,2901.0,179.63,700.33
cr_audio1.wav,32,2.99,286501.2,2901.0,192.89,598.1
cr_audio1.wav,1,36.4,25986.4,1300.0,94.21,3113.61
cr_audio1.wav,2,27.82,36195.6,1300.0,94.88,2718.55
cr_audio1.wav,4,19.26,73434.8,1300.0,97.5,1959.1
cr_audio1.wav,8,13.27,163802.0,1300.0,100.06,1390.18
cr_audio1.wav,16,8.98,209676.4,1300.0,103.78,974.65
cr_audio1.wav,32,6.42,289358.4,1300.0,108.56,725.01
cr_audio1.wav,1,27.86,26016.0,1700.0,98.14,2459.88
cr_audio1.wav,2,21.41,36410.4,1700.0,99.0,2182.45
cr_audio1.wav,4,15.08,75338.0,1700.0,102.07,1603.96
cr_audio1.wav,8,10.14,166390.8,1700.0,106.91,1132.37
cr_audio1.wav,16,7.14,210236.8,1700.0,110.93,827.78
cr_audio1.wav,32,5.1,286418.4,1700.0,117.07,622.48
cr_audio1.wav,1,24.9,26031.2,1900.0,100.28,2240.81
cr_audio1.wav,2,19.41,36228.0,1900.0,101.04,2020.53
cr_audio1.wav,4,13.48,74950.4,1900.0,104.87,1470.56
cr_audio1.wav,8,9.16,173302.4,1900.0,109.54,1052.62
cr_audio1.wav,16,6.46,209062.8,1900.0,114.96,769.15
cr_audio1.wav,32,4.66,284490.8,1900.0,120.93,589.39
cr_audio1.wav,1,20.93,26146.4,2300.0,106.52,1999.44
cr_audio1.wav,2,16.22,36140.0,2300.0,107.83,1795.08
cr_audio1.wav,4,11.28,73489.6,2300.0,113.27,1333.47
cr_audio1.wav,8,7.92,169689.6,2300.0,117.72,973.77
cr_audio1.wav,16,5.46,213062.0,2300.0,124.41,710.35
cr_audio1.wav,32,4.0,288199.6,2300.0,134.71,560.21
cr_audio1.wav,1,19.33,26068.8,2500.0,109.77,1885.48
cr_audio1.wav,2,15.07,36537.6,2500.0,109.97,1714.72
cr_audio1.wav,4,10.43,74519.6,2500.0,116.15,1257.31
cr_audio1.wav,8,7.19,168474.8,2500.0,123.48,929.18
cr_audio1.wav,16,5.1,206327.2,2500.0,130.71,697.35
cr_audio1.wav,32,3.76,287023.2,2500.0,141.55,553.38
cr_audio1.wav,1,17.38,26150.8,2800.0,112.76,1739.31
cr_audio1.wav,2,13.62,36222.0,2800.0,114.9,1608.34
cr_audio1.wav,4,9.45,72324.4,2800.0,120.87,1191.17
