Name,TR,TIM,MEM,FR,POW,EN
enwik8,1,6.19,17474.8,1200.0,94.28,593.12
enwik8,2,3.42,40116.8,1200.0,96.56,356.87
enwik8,4,2.24,85844.8,1200.0,99.6,234.55
enwik8,8,1.54,134236.0,1200.0,103.44,164.83
enwik8,16,1.46,134512.4,1200.0,104.13,156.64
enwik8,32,1.45,134516.8,1200.0,104.45,153.16
enwik8,1,4.67,17692.4,1600.0,97.69,465.26
enwik8,2,2.56,40314.0,1600.0,101.66,282.5
enwik8,4,1.72,85581.2,1600.0,105.97,192.41
enwik8,8,1.08,134236.0,1600.0,111.97,128.18
enwik8,16,1.01,134527.2,1600.0,114.03,117.65
enwik8,32,1.02,134652.0,1600.0,114.51,117.51
enwik8,1,4.14,17673.2,1800.0,99.56,421.55
enwik8,2,2.29,40332.8,1800.0,104.51,257.65
enwik8,4,1.51,85308.4,1800.0,109.86,174.95
enwik8,8,0.97,134416.4,1800.0,116.0,119.86
enwik8,16,0.92,133694.8,1800.0,118.28,112.72
enwik8,32,0.91,134357.2,1800.0,119.31,108.95
enwik8,1,3.4,17693.2,2200.0,105.28,369.56
enwik8,2,1.88,40510.0,2200.0,112.27,226.3
enwik8,4,1.23,85613.2,2200.0,117.81,153.46
enwik8,8,0.81,134710.8,2200.0,125.36,108.85
enwik8,16,0.75,134503.6,2200.0,128.65,99.76
enwik8,32,0.74,134861.2,2200.0,129.48,97.58
enwik8,1,3.12,17582.4,2400.0,107.37,345.87
enwik8,2,1.73,40625.6,2400.0,115.41,215.73
enwik8,4,1.15,85620.0,2400.0,122.16,148.9
enwik8,8,0.75,134012.8,2400.0,130.91,104.85
enwik8,16,0.71,133956.4,2400.0,133.9,99.32
enwik8,32,0.69,134813.6,2400.0,135.83,97.44
enwik8,1,2.79,17562.8,2700.0,111.76,321.28
enwik8,2,1.56,41077.6,2700.0,120.92,203.45
enwik8,4,1.01,85250.4,2700.0,129.71,138.49
enwik8,8,0.68,133572.8,2700.0,139.2,102.38
enwik8,16,0.63,134154.4,2700.0,145.37,94.55
enwik8,32,0.65,133891.6,2700.0,144.28,96.18
