Name,TR,TIM,MEM,FR,POW,EN
enwik8,1,6.15,17472.0,1200.0,108.06,751.71
enwik8,1,6.2,17476.0,1200.0,92.62,570.22
enwik8,1,6.2,17476.0,1200.0,92.23,576.53
enwik8,1,6.19,17476.0,1200.0,93.18,578.13
enwik8,1,6.21,17476.0,1200.0,93.15,577.73
enwik8,1,6.2,17472.0,1200.0,93.16,581.31
enwik8,1,6.2,17476.0,1200.0,92.37,577.41
enwik8,1,6.2,17476.0,1200.0,92.35,572.54
enwik8,1,6.14,17476.0,1200.0,92.42,573.25
enwik8,1,6.2,17472.0,1200.0,93.25,572.41
enwik8,2,3.46,40088.0,1200.0,92.32,572.56
enwik8,2,3.41,40008.0,1200.0,96.96,335.28
enwik8,2,3.42,40016.0,1200.0,97.22,331.05
enwik8,2,3.44,40752.0,1200.0,97.1,335.18
enwik8,2,3.42,40016.0,1200.0,96.68,333.95
enwik8,2,3.4,40084.0,1200.0,97.11,330.42
enwik8,2,3.43,40088.0,1200.0,97.16,329.57
enwik8,2,3.42,40016.0,1200.0,96.91,334.98
enwik8,2,3.41,40084.0,1200.0,97.11,335.14
enwik8,2,3.42,40016.0,1200.0,97.07,330.55
enwik8,4,2.24,86324.0,1200.0,97.12,333.82
enwik8,4,2.24,86148.0,1200.0,99.78,225.19
enwik8,4,2.23,85488.0,1200.0,100.04,225.48
enwik8,4,2.23,85452.0,1200.0,100.03,220.31
enwik8,4,2.22,85616.0,1200.0,100.02,225.49
enwik8,4,2.24,86228.0,1200.0,99.99,220.41
enwik8,4,2.23,85992.0,1200.0,100.04,225.58
enwik8,4,2.22,85976.0,1200.0,99.65,224.75
enwik8,4,2.24,85364.0,1200.0,99.4,219.09
enwik8,4,2.26,85860.0,1200.0,99.91,225.4
enwik8,8,1.76,132676.0,1200.0,100.06,225.65
enwik8,8,1.47,134872.0,1200.0,101.75,177.62
enwik8,8,1.52,133216.0,1200.0,104.17,157.11
enwik8,8,1.47,135240.0,1200.0,104.04,156.71
enwik8,8,1.49,134448.0,1200.0,104.74,152.63
enwik8,8,1.51,134888.0,1200.0,104.28,157.24
enwik8,8,1.49,133400.0,1200.0,104.36,157.1
enwik8,8,1.46,134844.0,1200.0,103.58,156.02
enwik8,8,1.45,134936.0,1200.0,103.43,155.76
enwik8,8,1.8,133840.0,1200.0,103.96,152.43
enwik8,16,1.44,135336.0,1200.0,101.87,183.96
enwik8,16,1.35,134696.0,1200.0,104.73,152.48
enwik8,16,1.71,129528.0,1200.0,105.64,143.05
enwik8,16,1.55,134664.0,1200.0,102.14,174.23
enwik8,16,1.4,134640.0,1200.0,103.46,161.39
enwik8,16,1.46,135336.0,1200.0,104.86,151.95
enwik8,16,1.39,134928.0,1200.0,104.28,151.94
enwik8,16,1.41,134240.0,1200.0,105.49,147.88
enwik8,16,1.45,136060.0,1200.0,104.33,146.63
enwik8,16,1.43,135696.0,1200.0,104.49,152.89
enwik8,32,1.78,130912.0,1200.0,104.26,152.5
enwik8,32,1.56,131680.0,1200.0,101.67,183.43
enwik8,32,1.39,134932.0,1200.0,103.54,161.35
enwik8,32,1.42,135040.0,1200.0,105.31,143.0
enwik8,32,1.36,136104.0,1200.0,105.09,153.3
enwik8,32,1.44,135948.0,1200.0,105.2,142.67
enwik8,32,1.38,135184.0,1200.0,105.7,153.71
enwik8,32,1.36,135236.0,1200.0,104.14,146.74
enwik8,32,1.43,134952.0,1200.0,104.44,146.95
enwik8,32,1.39,135180.0,1200.0,105.2,147.96
enwik8,1,4.66,17696.0,1600.0,115.01,616.4
enwik8,1,4.65,17692.0,1600.0,96.31,448.42
enwik8,1,4.65,17692.0,1600.0,95.71,445.05
enwik8,1,4.65,17692.0,1600.0,96.16,447.29
enwik8,1,4.86,17692.0,1600.0,95.25,442.73
enwik8,1,4.6,17692.0,1600.0,95.04,460.74
enwik8,1,4.65,17692.0,1600.0,95.65,439.87
enwik8,1,4.65,17692.0,1600.0,96.34,452.65
enwik8,1,4.66,17692.0,1600.0,96.12,451.89
enwik8,1,4.65,17692.0,1600.0,95.27,447.62
enwik8,2,2.55,40032.0,1600.0,95.89,450.52
enwik8,2,2.58,40200.0,1600.0,102.31,266.15
enwik8,2,2.56,40044.0,1600.0,102.39,261.36
enwik8,2,2.57,40200.0,1600.0,102.43,261.27
enwik8,2,2.56,40812.0,1600.0,102.37,266.2
enwik8,2,2.56,41076.0,1600.0,102.17,265.54
enwik8,2,2.56,40152.0,1600.0,102.51,261.6
enwik8,2,2.63,40236.0,1600.0,102.39,261.01
enwik8,2,2.51,40196.0,1600.0,101.62,269.95
enwik8,2,2.57,40192.0,1600.0,102.56,261.4
enwik8,4,1.68,85088.0,1600.0,102.43,261.44
enwik8,4,1.9,87416.0,1600.0,106.69,176.63
enwik8,4,1.67,85624.0,1600.0,105.09,200.02
enwik8,4,1.68,85192.0,1600.0,106.95,182.28
enwik8,4,1.66,84928.0,1600.0,106.72,181.9
enwik8,4,1.72,85988.0,1600.0,107.36,177.59
enwik8,4,1.66,84848.0,1600.0,106.15,186.19
enwik8,4,1.67,85908.0,1600.0,107.21,177.04
enwik8,4,1.92,85044.0,1600.0,106.64,182.08
enwik8,4,1.66,85776.0,1600.0,104.49,198.91
enwik8,8,1.07,134576.0,1600.0,106.72,177.26
enwik8,8,1.07,134364.0,1600.0,112.16,123.97
enwik8,8,1.08,134364.0,1600.0,112.91,120.42
enwik8,8,1.07,134364.0,1600.0,112.17,124.03
enwik8,8,1.09,134364.0,1600.0,112.75,119.03
enwik8,8,1.08,134096.0,1600.0,113.1,120.71
enwik8,8,1.08,135108.0,1600.0,112.61,123.43
enwik8,8,1.08,134360.0,1600.0,112.6,124.52
enwik8,8,1.08,134032.0,1600.0,112.21,124.11
enwik8,8,1.08,132732.0,1600.0,112.46,124.36
enwik8,16,1.0,134628.0,1600.0,112.9,124.99
enwik8,16,0.97,134676.0,1600.0,113.87,114.96
enwik8,16,0.97,134104.0,1600.0,115.05,110.69
enwik8,16,0.97,134148.0,1600.0,114.89,115.76
enwik8,16,0.98,136928.0,1600.0,114.97,110.03
enwik8,16,0.93,134148.0,1600.0,114.53,115.14
enwik8,16,1.02,134148.0,1600.0,115.46,110.33
enwik8,16,0.98,134888.0,1600.0,113.3,120.09
enwik8,16,1.31,133192.0,1600.0,115.4,110.48
enwik8,16,0.97,134412.0,1600.0,109.95,143.98
enwik8,32,0.99,135284.0,1600.0,114.69,115.42
enwik8,32,1.01,134224.0,1600.0,115.05,115.73
enwik8,32,0.99,134460.0,1600.0,114.41,114.97
enwik8,32,0.98,134972.0,1600.0,114.45,115.03
enwik8,32,0.98,134188.0,1600.0,114.84,115.74
enwik8,32,1.21,134976.0,1600.0,115.81,110.58
enwik8,32,0.97,134228.0,1600.0,112.15,135.42
enwik8,32,1.04,134772.0,1600.0,115.72,117.15
enwik8,32,0.99,134708.0,1600.0,114.01,120.33
enwik8,32,0.99,134708.0,1600.0,114.01,114.76
enwik8,1,4.15,17676.0,1800.0,119.88,582.38
enwik8,1,4.16,17676.0,1800.0,97.64,404.91
enwik8,1,4.15,17668.0,1800.0,97.58,409.94
enwik8,1,4.14,17668.0,1800.0,97.06,402.74
enwik8,1,4.09,17676.0,1800.0,97.43,404.2
enwik8,1,4.14,17672.0,1800.0,97.39,398.96
enwik8,1,4.14,17668.0,1800.0,97.43,404.2
enwik8,1,4.16,17676.0,1800.0,97.27,403.95
enwik8,1,4.14,17676.0,1800.0,97.06,402.2
enwik8,1,4.1,17676.0,1800.0,96.92,402.06
enwik8,2,2.29,40104.0,1800.0,97.56,399.88
enwik8,2,2.29,40120.0,1800.0,105.37,242.54
enwik8,2,2.29,40176.0,1800.0,105.38,242.62
enwik8,2,2.34,40076.0,1800.0,105.41,242.65
enwik8,2,2.28,40184.0,1800.0,104.69,246.86
enwik8,2,2.29,41272.0,1800.0,105.46,237.39
enwik8,2,2.24,40292.0,1800.0,105.23,242.29
enwik8,2,2.29,40100.0,1800.0,105.49,237.56
enwik8,2,2.29,40192.0,1800.0,105.26,242.34
enwik8,2,2.3,40812.0,1800.0,105.25,242.34
enwik8,4,1.5,84832.0,1800.0,105.11,242.13
enwik8,4,1.49,85132.0,1800.0,110.27,171.33
enwik8,4,1.5,85292.0,1800.0,110.22,165.85
enwik8,4,1.5,85760.0,1800.0,110.27,165.86
enwik8,4,1.58,84408.0,1800.0,110.34,166.01
enwik8,4,1.5,85620.0,1800.0,109.55,170.72
enwik8,4,1.48,85204.0,1800.0,110.19,167.4
enwik8,4,1.5,85972.0,1800.0,110.78,166.58
enwik8,4,1.5,85616.0,1800.0,111.35,167.31
enwik8,4,1.5,85248.0,1800.0,110.54,166.32
enwik8,8,0.99,134840.0,1800.0,110.14,164.84
enwik8,8,0.96,134628.0,1800.0,115.44,116.59
enwik8,8,0.96,134580.0,1800.0,117.65,112.39
enwik8,8,0.97,134096.0,1800.0,117.51,112.43
enwik8,8,0.97,134844.0,1800.0,116.04,116.64
enwik8,8,0.97,134364.0,1800.0,116.17,117.09
enwik8,8,0.99,133524.0,1800.0,115.98,116.69
enwik8,8,0.96,134364.0,1800.0,117.38,112.38
enwik8,8,0.97,134628.0,1800.0,117.27,112.27
enwik8,8,0.97,134296.0,1800.0,116.42,117.31
enwik8,16,1.1,129436.0,1800.0,119.86,121.69
enwik8,16,1.01,131684.0,1800.0,115.21,127.36
enwik8,16,0.91,134108.0,1800.0,115.23,121.94
enwik8,16,0.88,135420.0,1800.0,116.72,112.06
enwik8,16,0.88,134628.0,1800.0,118.97,107.88
enwik8,16,0.88,134412.0,1800.0,120.03,110.07
enwik8,16,0.91,133852.0,1800.0,120.2,103.22
enwik8,16,0.88,134628.0,1800.0,116.98,112.04
enwik8,16,0.87,134364.0,1800.0,118.79,107.56
enwik8,16,0.88,134416.0,1800.0,120.77,103.4
enwik8,32,0.89,134508.0,1800.0,120.94,103.65
enwik8,32,0.88,134972.0,1800.0,119.13,108.16
enwik8,32,0.88,134448.0,1800.0,119.52,108.53
enwik8,32,0.95,134496.0,1800.0,119.69,108.45
enwik8,32,1.02,129680.0,1800.0,118.96,114.1
enwik8,32,0.88,134712.0,1800.0,115.65,122.35
enwik8,32,0.89,135252.0,1800.0,120.41,103.16
enwik8,32,0.87,135024.0,1800.0,119.5,108.42
enwik8,32,0.89,135508.0,1800.0,120.66,103.4
enwik8,32,0.91,134972.0,1800.0,118.65,109.26
enwik8,1,3.39,17620.0,2200.0,132.6,552.7
enwik8,1,3.45,17620.0,2200.0,101.94,346.42
enwik8,1,3.39,18352.0,2200.0,101.66,350.81
enwik8,1,3.39,17620.0,2200.0,103.1,350.49
enwik8,1,3.39,17620.0,2200.0,102.45,348.08
enwik8,1,3.41,17620.0,2200.0,102.57,348.49
enwik8,1,3.4,17620.0,2200.0,101.8,351.21
enwik8,1,3.42,17620.0,2200.0,101.83,345.93
enwik8,1,3.39,17620.0,2200.0,102.19,352.51
enwik8,1,3.4,17620.0,2200.0,102.65,348.97
enwik8,2,1.88,40884.0,2200.0,102.75,350.64
enwik8,2,1.83,39972.0,2200.0,113.31,210.16
enwik8,2,1.88,40100.0,2200.0,114.3,206.1
enwik8,2,1.9,40888.0,2200.0,113.1,215.17
enwik8,2,1.88,41592.0,2200.0,113.19,215.39
enwik8,2,1.89,40652.0,2200.0,113.4,210.02
enwik8,2,1.89,40096.0,2200.0,113.37,210.01
enwik8,2,1.88,40884.0,2200.0,113.22,215.38
enwik8,2,1.89,40096.0,2200.0,112.98,215.05
enwik8,2,1.88,39936.0,2200.0,113.07,215.13
enwik8,4,1.23,85100.0,2200.0,113.66,210.58
enwik8,4,1.23,85248.0,2200.0,118.66,142.85
enwik8,4,1.25,85736.0,2200.0,118.15,148.25
enwik8,4,1.25,85464.0,2200.0,117.95,148.0
enwik8,4,1.23,85504.0,2200.0,118.64,148.91
enwik8,4,1.25,85248.0,2200.0,118.62,148.84
enwik8,4,1.23,86044.0,2200.0,118.04,148.19
enwik8,4,1.23,85244.0,2200.0,116.46,146.16
enwik8,4,1.24,85796.0,2200.0,118.62,149.15
enwik8,4,1.18,86748.0,2200.0,119.27,143.68
enwik8,8,0.86,136140.0,2200.0,120.8,139.32
enwik8,8,0.8,134892.0,2200.0,122.53,111.89
enwik8,8,0.79,134840.0,2200.0,126.53,102.33
enwik8,8,0.8,135612.0,2200.0,126.84,102.44
enwik8,8,0.81,134364.0,2200.0,126.76,102.55
enwik8,8,0.81,133920.0,2200.0,126.47,102.26
enwik8,8,0.85,134316.0,2200.0,125.05,107.44
enwik8,8,0.81,134100.0,2200.0,127.31,109.61
enwik8,8,0.8,134100.0,2200.0,124.43,108.18
enwik8,8,0.8,134824.0,2200.0,126.91,102.54
enwik8,16,0.74,134152.0,2200.0,126.82,102.51
enwik8,16,0.75,133888.0,2200.0,129.04,97.88
enwik8,16,0.75,134416.0,2200.0,127.75,103.53
enwik8,16,0.74,134148.0,2200.0,129.14,98.22
enwik8,16,0.74,134620.0,2200.0,129.56,98.51
enwik8,16,0.74,135468.0,2200.0,128.76,98.01
enwik8,16,0.75,134892.0,2200.0,128.82,98.88
enwik8,16,0.78,133884.0,2200.0,130.13,98.58
enwik8,16,0.73,134632.0,2200.0,126.04,102.64
enwik8,16,0.73,134936.0,2200.0,130.41,98.85
enwik8,32,0.74,135292.0,2200.0,131.59,93.21
enwik8,32,0.74,134760.0,2200.0,128.55,97.61
enwik8,32,0.73,135024.0,2200.0,130.13,98.81
enwik8,32,0.76,135024.0,2200.0,131.55,93.53
enwik8,32,0.74,134496.0,2200.0,127.76,103.78
enwik8,32,0.74,134500.0,2200.0,128.98,97.82
enwik8,32,0.75,136076.0,2200.0,129.8,98.21
enwik8,32,0.75,133968.0,2200.0,129.18,97.53
enwik8,32,0.73,134500.0,2200.0,128.47,97.57
enwik8,32,0.75,134972.0,2200.0,128.81,97.73
enwik8,1,3.12,17500.0,2400.0,135.72,524.3
enwik8,1,3.14,17492.0,2400.0,104.19,328.47
enwik8,1,3.12,17500.0,2400.0,103.72,327.66
enwik8,1,3.12,17500.0,2400.0,104.18,328.14
enwik8,1,3.12,17500.0,2400.0,104.25,323.22
enwik8,1,3.12,17500.0,2400.0,104.37,328.48
enwik8,1,3.07,18332.0,2400.0,104.27,328.25
enwik8,1,3.14,17500.0,2400.0,104.67,319.15
enwik8,1,3.12,17500.0,2400.0,103.91,327.36
enwik8,1,3.12,17500.0,2400.0,104.42,323.61
enwik8,2,1.73,41596.0,2400.0,103.66,321.19
enwik8,2,1.73,41592.0,2400.0,116.64,204.73
enwik8,2,1.69,39908.0,2400.0,116.68,204.89
enwik8,2,1.77,41148.0,2400.0,117.41,199.87
enwik8,2,1.73,39712.0,2400.0,116.35,204.39
enwik8,2,1.73,39792.0,2400.0,116.67,203.39
