FR,TR,Name,EN,TIM
2200.0,32,16,13645.771744,124.882413693
2900.0,16,16,11872.363176,99.783702191
2200.0,8,16,13348.417157,121.919382357
2500.0,1,16,12381.798029,115.128370034
2500.0,16,16,12467.323072,110.725836717
1800.0,2,16,19962.891841,194.022225299
2901.0,8,16,12359.592835,86.326810386
2400.0,2,16,17473.397484,157.708400289
2900.0,32,16,13105.206689,107.941100153
2800.0,16,16,11749.381199,101.048912669
2800.0,32,16,12416.77454,104.037764085
2900.0,1,16,11910.720848,105.680291781
2300.0,16,16,12465.792799,113.865855445
2700.0,2,16,16726.730865,145.433851591
1200.0,4,16,20596.437116,212.057677073
2800.0,4,16,12613.194287,108.446738998
2300.0,8,16,13180.325642,119.158109266
2901.0,16,16,11989.789071,83.153389871
2200.0,1,16,13040.763812,124.221331682
2300.0,1,16,12904.237542,121.967595334
2500.0,8,16,12727.431564,112.595506381
2400.0,1,16,12631.71723,118.424157358
1700.0,4,16,16084.072361,157.47772343
1800.0,1,16,14491.967024,144.901612154
2500.0,2,16,17231.024852,154.146071177
1700.0,16,16,14602.343965,143.279213062
2300.0,2,16,18005.847174,165.552844474
1600.0,8,16,15643.801709,154.128973758
2300.0,4,16,14187.635784,129.117760984
2900.0,8,16,12179.593592,101.418929131
2900.0,2,16,16587.886577,141.432785772
1800.0,32,16,14829.352946,141.692577355
1900.0,32,16,13944.505114,132.564316906
1400.0,8,16,16916.103093,170.507406189
2901.0,2,16,16494.629217,115.076491325
1400.0,1,16,17206.926847,178.089875233
1200.0,1,16,19665.75635,206.39379966
2800.0,1,16,11851.108803,106.51832081
1700.0,32,16,14754.587142,143.109037065
2800.0,8,16,12270.021714,104.920551076
2900.0,4,16,12888.337331,108.598342725
1600.0,4,16,16735.618662,165.504698147
2901.0,1,16,11517.802886,84.976374254
2901.0,32,16,12086.598559,82.872217569
1300.0,4,16,18996.602311,193.798284371
2700.0,1,16,12047.509127,109.493489939
1800.0,16,16,13976.945845,135.467857143
2700.0,16,16,11932.927898,103.038620458
1800.0,8,16,14584.945279,140.913079766
2700.0,4,16,13052.5133,113.204745316
1300.0,1,16,18181.184045,189.311691541
2400.0,8,16,13051.908233,117.187183723
2800.0,2,16,16506.042003,142.987941138
1900.0,1,16,14087.16839,139.696318991
1700.0,1,16,15237.189148,153.409327536
2000.0,32,16,13432.600403,126.303104124
1600.0,32,16,16575.763208,161.924679624
1300.0,2,16,23846.888809,243.92287947
2700.0,32,16,12037.495732,103.359069882
1400.0,2,16,23012.162202,232.92006282
2400.0,16,16,12457.463655,112.421807659
1900.0,8,16,14101.693857,135.210779511
1600.0,1,16,15867.720429,161.460199181
1700.0,8,16,15126.164298,147.42545868
1300.0,8,16,17816.687871,180.99115709
2901.0,4,16,12929.373384,90.132231535
1400.0,32,16,16696.132724,167.558475179
2400.0,32,16,12928.579998,115.089882253
1200.0,16,16,18057.631158,185.995019097
2200.0,16,16,13348.455016,122.132430436
2000.0,16,16,13350.146896,126.764873897
2000.0,1,16,13789.565055,134.7612525
1400.0,4,16,18167.474563,183.180225769
2700.0,8,16,12413.846853,106.359380327
2300.0,32,16,13072.53239,118.235984481
2000.0,8,16,13896.978911,130.533529328
1600.0,16,16,15210.343786,150.695671817
1400.0,16,16,16498.169324,166.916602825
1900.0,2,16,19679.959532,189.429229028
2500.0,4,16,13372.175677,118.872181429
2000.0,2,16,19111.620651,181.909774265
1200.0,2,16,25872.257736,266.79018351
1300.0,32,16,19936.314148,200.430084623
2400.0,4,16,13483.475532,121.201131403
2200.0,2,16,17837.862397,164.597513104
2500.0,32,16,13125.52709,115.060108245
2200.0,4,16,14007.49687,128.970923622
2000.0,4,16,14671.714266,138.61940077
1300.0,16,16,17284.054507,176.088398323
1600.0,2,16,21475.928706,213.335991225
1900.0,16,16,13751.063937,132.122863363
1800.0,4,16,15259.528232,148.307029085
1200.0,8,16,19026.121223,194.829772423
1700.0,2,16,20633.635306,202.83688347
1200.0,32,16,20379.748696,206.990315029
1900.0,4,16,14920.890819,143.344825114
