laplace_correction,estimation_mode,bandwidth_selection,bandwidth,minimum_bandwidth,number_of_kernels,use_application_grid,application_grid_size,PREC_AT_99_REC
true,greedy,heuristic,0.001,0.1,1,true,20,0.895
false,greedy,heuristic,0.001,0.1,1,true,20,0.8959
true,greedy,heuristic,0.001,0.001,1,true,20,0.8531
false,greedy,heuristic,0.001,0.001,1,true,20,0.84
true,greedy,heuristic,0.001,1,1,true,20,0.261
false,greedy,heuristic,0.001,1,1,true,20,0.2069
true,greedy,heuristic,0.001,5,1,true,20,0.2038
false,greedy,heuristic,0.001,5,1,true,20,0.3736
true,greedy,heuristic,0.001,10,1,true,20,0.4753
false,greedy,heuristic,0.001,10,1,true,20,0.5066
true,greedy,heuristic,0.001,20,1,true,20,0.6498
false,greedy,heuristic,0.001,20,1,true,20,0.7716
true,greedy,heuristic,0.001,50,1,true,20,0.8089
false,greedy,heuristic,0.001,50,1,true,20,0.7936
true,greedy,heuristic,0.001,100,1,true,20,0.7052
false,greedy,heuristic,0.001,100,1,true,20,0.6079
true,greedy,heuristic,0.001,500,1,true,20,0.7168
false,greedy,heuristic,0.001,500,1,true,20,0.6168
true,greedy,heuristic,0.001,1000,1,true,20,0.6078
false,greedy,heuristic,0.001,1000,1,true,20,0.6262
true,greedy,heuristic,0.001,0.1,2,true,20,0.5025
false,greedy,heuristic,0.001,0.1,2,true,20,0.5042
true,greedy,heuristic,0.001,1,2,true,20,0.524
false,greedy,heuristic,0.001,1,2,true,20,0.2564
true,greedy,heuristic,0.001,5,2,true,20,0.0389
false,greedy,heuristic,0.001,5,2,true,20,0.0947
true,greedy,heuristic,0.001,10,2,true,20,0.0601
false,greedy,heuristic,0.001,10,2,true,20,0.0913
true,greedy,heuristic,0.001,20,2,true,20,0.5015
true,greedy,heuristic,0.001,50,2,true,20,0.5015
false,greedy,heuristic,0.001,50,2,true,20,0.7998
true,greedy,heuristic,0.001,100,2,true,20,0.6005
false,greedy,heuristic,0.001,100,2,true,20,0.5006
true,greedy,heuristic,0.001,500,2,true,20,0.4978
false,greedy,heuristic,0.001,500,2,true,20,0.7968
true,greedy,heuristic,0.001,1000,2,true,20,0.6001
false,greedy,heuristic,0.001,1000,2,true,20,0.7
true,greedy,heuristic,0.001,0.1,5,true,20,0.4652
false,greedy,heuristic,0.001,0.1,5,true,20,0.4027
true,greedy,heuristic,0.001,1,5,true,20,0.0572
false,greedy,heuristic,0.001,1,5,true,20,0.0681
true,greedy,heuristic,0.001,5,5,true,20,0.0716
false,greedy,heuristic,0.001,5,5,true,20,0.0754
true,greedy,heuristic,0.001,10,5,true,20,0.0209
false,greedy,heuristic,0.001,10,5,true,20,0.0213
true,greedy,heuristic,0.001,20,5,true,20,0.0081
false,greedy,heuristic,0.001,20,5,true,20,0.0081
true,greedy,heuristic,0.001,50,5,true,20,0.0421
false,greedy,heuristic,0.001,50,5,true,20,0.009
true,greedy,heuristic,0.001,100,5,true,20,0.0085
false,greedy,heuristic,0.001,100,5,true,20,0.0402
true,greedy,heuristic,0.001,500,5,true,20,0.0308
false,greedy,heuristic,0.001,500,5,true,20,0.0604
true,greedy,heuristic,0.001,1000,5,true,20,0.0569
false,greedy,heuristic,0.001,1000,5,true,20,0.032
true,greedy,heuristic,0.001,0.1,10,true,20,0.0579
false,greedy,heuristic,0.001,0.1,10,true,20,0.0525
true,greedy,heuristic,0.001,1,10,true,20,0.0353
false,greedy,heuristic,0.001,1,10,true,20,0.0378
true,greedy,heuristic,0.001,5,10,true,20,0.0383
false,greedy,heuristic,0.001,5,10,true,20,0.0054
true,greedy,heuristic,0.001,10,10,true,20,0.0323
false,greedy,heuristic,0.001,10,10,true,20,0.0237
true,greedy,heuristic,0.001,20,10,true,20,0.0136
false,greedy,heuristic,0.001,20,10,true,20,0.0279
true,greedy,heuristic,0.001,50,10,true,20,0.0417
false,greedy,heuristic,0.001,50,10,true,20,0.0352
true,greedy,heuristic,0.001,100,10,true,20,0.0137
false,greedy,heuristic,0.001,100,10,true,20,0.0113
true,greedy,heuristic,0.001,500,10,true,20,0.0143
false,greedy,heuristic,0.001,500,10,true,20,0.0059
true,greedy,heuristic,0.001,1000,10,true,20,0.057
false,greedy,heuristic,0.001,1000,10,true,20,0.0455
true,greedy,heuristic,0.001,0.1,50,true,20,0.0528
false,greedy,heuristic,0.001,0.1,50,true,20,0.0537
true,greedy,heuristic,0.001,1,50,true,20,0.0352
false,greedy,heuristic,0.001,1,50,true,20,0.0401
true,greedy,heuristic,0.001,5,50,true,20,0.0272
false,greedy,heuristic,0.001,5,50,true,20,0.0349
true,greedy,heuristic,0.001,10,50,true,20,0.0448
false,greedy,heuristic,0.001,10,50,true,20,0.0549
true,greedy,heuristic,0.001,20,50,true,20,0.0528
false,greedy,heuristic,0.001,20,50,true,20,0.0333
true,greedy,heuristic,0.001,50,50,true,20,0.1431
false,greedy,heuristic,0.001,50,50,true,20,0.0855
true,greedy,heuristic,0.001,100,50,true,20,0.1025
false,greedy,heuristic,0.001,100,50,true,20,0.0855
true,greedy,heuristic,0.001,500,50,true,20,0.1148
false,greedy,heuristic,0.001,500,50,true,20,0.0727
true,greedy,heuristic,0.001,1000,50,true,20,0.1477
false,greedy,heuristic,0.001,1000,50,true,20,0.0789
true,greedy,heuristic,0.001,0.1,100,true,20,0.0867
false,greedy,heuristic,0.001,0.1,100,true,20,0.094
false,greedy,heuristic,0.001,0.001,100,true,20,0.895
true,greedy,heuristic,0.001,1,100,true,20,0.0558
false,greedy,heuristic,0.001,1,100,true,20,0.0601
true,greedy,heuristic,0.001,5,100,true,20,0.0458
false,greedy,heuristic,0.001,5,100,true,20,0.0349
true,greedy,heuristic,0.001,10,100,true,20,0.0395
false,greedy,heuristic,0.001,10,100,true,20,0.0509
true,greedy,heuristic,0.001,20,100,true,20,0.0704
false,greedy,heuristic,0.001,20,100,true,20,0.0752
true,greedy,heuristic,0.001,50,100,true,20,0.1323
false,greedy,heuristic,0.001,50,100,true,20,0.1432
true,greedy,heuristic,0.001,100,100,true,20,0.145
false,greedy,heuristic,0.001,100,100,true,20,0.145
true,greedy,heuristic,0.001,500,100,true,20,0.1051
false,greedy,heuristic,0.001,500,100,true,20,0.1728
true,greedy,heuristic,0.001,1000,100,true,20,0.1364
false,greedy,heuristic,0.001,1000,100,true,20,0.1344
true,greedy,heuristic,0.001,0.1,500,true,20,0.0882
false,greedy,heuristic,0.001,0.1,500,true,20,0.0873
true,greedy,heuristic,0.001,0.001,500,true,20,0.8959
false,greedy,heuristic,0.001,0.001,500,true,20,0.8326
true,greedy,heuristic,0.001,1,500,true,20,0.0602
false,greedy,heuristic,0.001,1,500,true,20,0.0602
true,greedy,heuristic,0.001,5,500,true,20,0.0567
false,greedy,heuristic,0.001,5,500,true,20,0.0567
true,greedy,heuristic,0.001,10,500,true,20,0.055
false,greedy,heuristic,0.001,10,500,true,20,0.0569
true,greedy,heuristic,0.001,20,500,true,20,0.0999
false,greedy,heuristic,0.001,20,500,true,20,0.0999
true,greedy,heuristic,0.001,50,500,true,20,0.1741
false,greedy,heuristic,0.001,50,500,true,20,0.1741
true,greedy,heuristic,0.001,100,500,true,20,0.1757
false,greedy,heuristic,0.001,100,500,true,20,0.1757
true,greedy,heuristic,0.001,500,500,true,20,0.1733
false,greedy,heuristic,0.001,500,500,true,20,0.1733
true,greedy,heuristic,0.001,1000,500,true,20,0.2008
false,greedy,heuristic,0.001,1000,500,true,20,0.2008
true,greedy,heuristic,0.001,0.1,1000,true,20,0.0919
false,greedy,heuristic,0.001,0.1,1000,true,20,0.0919
true,greedy,heuristic,0.001,0.001,1000,true,20,0.84
false,greedy,heuristic,0.001,0.001,1000,true,20,0.261
true,greedy,heuristic,0.001,1,1000,true,20,0.0599
false,greedy,heuristic,0.001,1,1000,true,20,0.0599
true,greedy,heuristic,0.001,5,1000,true,20,0.0485
false,greedy,heuristic,0.001,5,1000,true,20,0.0485
true,greedy,heuristic,0.001,10,1000,true,20,0.0569
false,greedy,heuristic,0.001,10,1000,true,20,0.0569
true,greedy,heuristic,0.001,20,1000,true,20,0.1033
false,greedy,heuristic,0.001,20,1000,true,20,0.1033
true,greedy,heuristic,0.001,50,1000,true,20,0.1741
false,greedy,heuristic,0.001,50,1000,true,20,0.1741
true,greedy,heuristic,0.001,100,1000,true,20,0.1757
false,greedy,heuristic,0.001,100,1000,true,20,0.1757
true,greedy,heuristic,0.001,500,1000,true,20,0.1739
false,greedy,heuristic,0.001,500,1000,true,20,0.1739
true,greedy,heuristic,0.001,1000,1000,true,20,0.2074
false,greedy,heuristic,0.001,1000,1000,true,20,0.2074
true,greedy,heuristic,0.001,0.1,1,true,50,0.6396
false,greedy,heuristic,0.001,0.1,1,true,50,0.7247
true,greedy,heuristic,0.001,0.001,1,true,50,0.4564
false,greedy,heuristic,0.001,0.001,1,true,50,0.5461
true,greedy,heuristic,0.001,1,1,true,50,0.3875
false,greedy,heuristic,0.001,1,1,true,50,0.3789
true,greedy,heuristic,0.001,5,1,true,50,0.0211
false,greedy,heuristic,0.001,5,1,true,50,0.1019
true,greedy,heuristic,0.001,10,1,true,50,0.1712
false,greedy,heuristic,0.001,10,1,true,50,0.0931
true,greedy,heuristic,0.001,20,1,true,50,0.0036
false,greedy,heuristic,0.001,20,1,true,50,0.152
true,greedy,heuristic,0.001,50,1,true,50,0.6175
false,greedy,heuristic,0.001,50,1,true,50,0.5084
true,greedy,heuristic,0.001,100,1,true,50,0.5084
false,greedy,heuristic,0.001,100,1,true,50,0.4175
true,greedy,heuristic,0.001,500,1,true,50,0.5084
false,greedy,heuristic,0.001,500,1,true,50,0.3177
true,greedy,heuristic,0.001,1000,1,true,50,0.5265
false,greedy,heuristic,0.001,1000,1,true,50,0.5262
true,greedy,heuristic,0.001,0.1,2,true,50,0.5035
false,greedy,heuristic,0.001,0.1,2,true,50,0.5941
true,greedy,heuristic,0.001,0.001,2,true,50,0.2038
false,greedy,heuristic,0.001,0.001,2,true,50,0.3736
true,greedy,heuristic,0.001,1,2,true,50,0.2168
false,greedy,heuristic,0.001,1,2,true,50,0.2128
true,greedy,heuristic,0.001,5,2,true,50,0.4212
false,greedy,heuristic,0.001,5,2,true,50,0.4132
true,greedy,heuristic,0.001,10,2,true,50,0.1272
false,greedy,heuristic,0.001,10,2,true,50,0.078
true,greedy,heuristic,0.001,20,2,true,50,0.1065
false,greedy,heuristic,0.001,20,2,true,50,0.0941
true,greedy,heuristic,0.001,50,2,true,50,0.6004
false,greedy,heuristic,0.001,50,2,true,50,0.7005
true,greedy,heuristic,0.001,100,2,true,50,0.5976
false,greedy,heuristic,0.001,100,2,true,50,0.6982
true,greedy,heuristic,0.001,500,2,true,50,0.6973
false,greedy,heuristic,0.001,500,2,true,50,0.498
true,greedy,heuristic,0.001,1000,2,true,50,0.6976
false,greedy,heuristic,0.001,1000,2,true,50,0.598
true,greedy,heuristic,0.001,0.1,5,true,50,0.4764
false,greedy,heuristic,0.001,0.1,5,true,50,0.6373
true,greedy,heuristic,0.001,0.001,5,true,50,0.4753
false,greedy,heuristic,0.001,0.001,5,true,50,0.5066
true,greedy,heuristic,0.001,1,5,true,50,0.0508
false,greedy,heuristic,0.001,1,5,true,50,0.0278
true,greedy,heuristic,0.001,5,5,true,50,0.0884
false,greedy,heuristic,0.001,5,5,true,50,0.2693
true,greedy,heuristic,0.001,10,5,true,50,0.1584
false,greedy,heuristic,0.001,10,5,true,50,0.0918
true,greedy,heuristic,0.001,20,5,true,50,0.0492
false,greedy,heuristic,0.001,20,5,true,50,0.0543
true,greedy,heuristic,0.001,50,5,true,50,0.0419
false,greedy,heuristic,0.001,50,5,true,50,0.041
true,greedy,heuristic,0.001,100,5,true,50,0.0324
false,greedy,heuristic,0.001,100,5,true,50,0.349
true,greedy,heuristic,0.001,500,5,true,50,0.0438
false,greedy,heuristic,0.001,500,5,true,50,0.0606
true,greedy,heuristic,0.001,1000,5,true,50,0.0859
false,greedy,heuristic,0.001,1000,5,true,50,0.1028
true,greedy,heuristic,0.001,0.1,10,true,50,0.4217
false,greedy,heuristic,0.001,0.1,10,true,50,0.4259
true,greedy,heuristic,0.001,0.001,10,true,50,0.8089
false,greedy,heuristic,0.001,0.001,10,true,50,0.7936
true,greedy,heuristic,0.001,1,10,true,50,0.0883
false,greedy,heuristic,0.001,1,10,true,50,0.0956
true,greedy,heuristic,0.001,5,10,true,50,0.0875
false,greedy,heuristic,0.001,5,10,true,50,0.0523
true,greedy,heuristic,0.001,10,10,true,50,0.0225
false,greedy,heuristic,0.001,10,10,true,50,0.0256
true,greedy,heuristic,0.001,20,10,true,50,0.0126
false,greedy,heuristic,0.001,20,10,true,50,0.0266
true,greedy,heuristic,0.001,50,10,true,50,0.0163
false,greedy,heuristic,0.001,50,10,true,50,0.0175
true,greedy,heuristic,0.001,100,10,true,50,0.0113
false,greedy,heuristic,0.001,100,10,true,50,0.035
true,greedy,heuristic,0.001,500,10,true,50,0.071
false,greedy,heuristic,0.001,500,10,true,50,0.0486
true,greedy,heuristic,0.001,1000,10,true,50,0.1039
false,greedy,heuristic,0.001,1000,10,true,50,0.1549
true,greedy,heuristic,0.001,0.1,50,true,50,0.5853
false,greedy,heuristic,0.001,0.1,50,true,50,0.5853
true,greedy,heuristic,0.001,0.001,50,true,50,0.7052
false,greedy,heuristic,0.001,0.001,50,true,50,0.6079
true,greedy,heuristic,0.001,1,50,true,50,0.1287
false,greedy,heuristic,0.001,1,50,true,50,0.0958
true,greedy,heuristic,0.001,5,50,true,50,0.0549
false,greedy,heuristic,0.001,5,50,true,50,0.0877
true,greedy,heuristic,0.001,10,50,true,50,0.0332
false,greedy,heuristic,0.001,10,50,true,50,0.0179
true,greedy,heuristic,0.001,20,50,true,50,0.038
false,greedy,heuristic,0.001,20,50,true,50,0.0307
true,greedy,heuristic,0.001,50,50,true,50,0.0775
false,greedy,heuristic,0.001,50,50,true,50,0.0606
true,greedy,heuristic,0.001,100,50,true,50,0.1154
false,greedy,heuristic,0.001,100,50,true,50,0.0932
true,greedy,heuristic,0.001,500,50,true,50,0.1782
false,greedy,heuristic,0.001,500,50,true,50,0.1322
true,greedy,heuristic,0.001,1000,50,true,50,0.1971
false,greedy,heuristic,0.001,1000,50,true,50,0.1362
true,greedy,heuristic,0.001,0.1,100,true,50,0.5165
false,greedy,heuristic,0.001,0.1,100,true,50,0.571
true,greedy,heuristic,0.001,0.001,100,true,50,0.7168
false,greedy,heuristic,0.001,0.001,100,true,50,0.6168
true,greedy,heuristic,0.001,1,100,true,50,0.1317
false,greedy,heuristic,0.001,1,100,true,50,0.1038
true,greedy,heuristic,0.001,5,100,true,50,0.0878
false,greedy,heuristic,0.001,5,100,true,50,0.0587
true,greedy,heuristic,0.001,10,100,true,50,0.0278
false,greedy,heuristic,0.001,10,100,true,50,0.0196
true,greedy,heuristic,0.001,20,100,true,50,0.0444
false,greedy,heuristic,0.001,20,100,true,50,0.0372
true,greedy,heuristic,0.001,50,100,true,50,0.107
false,greedy,heuristic,0.001,50,100,true,50,0.0836
true,greedy,heuristic,0.001,100,100,true,50,0.1454
false,greedy,heuristic,0.001,100,100,true,50,0.1747
true,greedy,heuristic,0.001,500,100,true,50,0.1287
false,greedy,heuristic,0.001,500,100,true,50,0.0955
true,greedy,heuristic,0.001,1000,100,true,50,0.1576
false,greedy,heuristic,0.001,1000,100,true,50,0.1614
