FR,TR,Name,EN,TIM
1700.0,8,sort,12051.71,91283.6
2200.0,16,sort,6326.132,42748.91
2000.0,4,sort,18158.29,154563.9
2500.0,8,sort,9860.34,66442.88
1900.0,1,sort,52172.72,488856.6
1900.0,32,sort,5410.242,34742.55
1600.0,4,sort,19875.48,179286.6
2800.0,2,sort,24447.47,179900.6
2300.0,2,sort,25505.29,216896.3
2700.0,32,sort,5421.361,24464.77
1900.0,4,sort,19654.72,162328.1
2900.0,1,sort,47211.05,349841.2
2800.0,8,sort,10032.513,61774.49
1700.0,4,sort,21511.79,184955.7
2000.0,32,sort,5607.726,32098.6
2000.0,16,sort,6193.3,47928.73
2400.0,2,sort,24423.7,204274.8
2900.0,8,sort,10534.556,59432.34
2800.0,1,sort,47056.31,359702.6
2700.0,1,sort,47657.06,369674.0
2700.0,16,sort,5863.529,35578.49
1900.0,16,sort,7440.088,48469.77
2200.0,2,sort,26564.93,218022.1
1200.0,2,sort,37940.02,372907.6
2901.0,16,sort,6922.376,31235.19
2800.0,4,sort,17059.014,117876.6
1300.0,1,sort,68063.31,683472.7
1800.0,1,sort,56399.71,511237.9
2500.0,2,sort,23865.07,195674.1
1800.0,32,sort,5433.656,35306.5
2800.0,32,sort,4587.226,25756.3
1400.0,8,sort,13706.23,111371.9
1700.0,1,sort,58386.69,536872.5
2000.0,2,sort,26940.56,236616.2
1200.0,8,sort,9657.847,90814.81
1300.0,2,sort,34431.13,345984.1
1200.0,16,sort,6621.9227,49813.25
1600.0,1,sort,59449.52,566582.3
2700.0,4,sort,16194.773,121831.8
2500.0,16,sort,6319.695,38933.65
2200.0,8,sort,10934.061,72745.41
2500.0,4,sort,18683.67,136415.7
2800.0,16,sort,6974.979,35128.93
1600.0,8,sort,12229.503,96123.11
2300.0,4,sort,18488.56,136225.2
2500.0,32,sort,5368.775,27689.86
2400.0,1,sort,48768.87,404787.6
2300.0,1,sort,49864.23,418098.5
1700.0,32,sort,5888.759,37422.85
1200.0,32,sort,5310.257,34698.57
1200.0,1,sort,73707.51,736377.7
2200.0,1,sort,51667.49,432930.7
1400.0,16,sort,8508.521,64624.45
1800.0,16,sort,7352.483,52023.41
2901.0,2,sort,27387.7,152473.2
2000.0,8,sort,11198.773,79442.81
1800.0,8,sort,11913.99,88003.24
1900.0,2,sort,27635.45,244308.9
2400.0,16,sort,6374.742,40755.55
2300.0,32,sort,4996.786,29335.76
2200.0,32,sort,5451.814,30137.13
2900.0,16,sort,6029.281,34818.59
2700.0,2,sort,22990.88,188929.3
2000.0,1,sort,53125.82,468671.8
1700.0,2,sort,29997.67,268670.0
2400.0,32,sort,4493.394,28028.69
1300.0,4,sort,21838.807,217746.6
1200.0,4,sort,25060.89,241848.2
2901.0,4,sort,19176.21,98516.61
2700.0,8,sort,10359.806,62356.94
2901.0,8,sort,10680.269,51732.0
2900.0,32,sort,4316.1853,24089.71
2400.0,4,sort,17534.55,126621.5
2300.0,16,sort,6587.992,41958.2
1900.0,8,sort,10780.515,80678.28
1600.0,2,sort,30011.51,284040.5
2500.0,1,sort,49040.59,391787.9
2900.0,2,sort,22824.19,175345.5
1800.0,2,sort,28515.19,260225.2
1300.0,16,sort,8976.55,69621.8
1700.0,16,sort,7457.428,53665.08
1300.0,32,sort,6031.604,45332.45
2900.0,4,sort,15389.8,108586.2
2300.0,8,sort,10333.23,68281.5
1400.0,32,sort,5769.659,44691.92
2901.0,1,sort,49203.65,279045.1
1600.0,16,sort,7882.175,57289.56
2901.0,32,sort,4780.7938,22413.48
1400.0,2,sort,33103.29,322045.9
1400.0,4,sort,23077.78,210673.6
1800.0,4,sort,18614.21,160731.8
2400.0,8,sort,10062.663,67613.85
1400.0,1,sort,66305.06,638828.1
1600.0,32,sort,5767.769,40659.92
1300.0,8,sort,13493.52,115113.2
2200.0,4,sort,18124.03,141501.0
